Species,nat_loc
Cirsium arvense,"Afghanistan, Albania, Algeria, Altay, Amur, Assam, Austria, Azores, Baleares, BalticStates, Bangladesh, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, ChinaNorth-Central, ChinaSouth-Central, ChinaSoutheast, Corse, Cyprus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, India, InnerMongolia, Iran, Iraq, Ireland, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Lebanon-Syria, Magadan, Manchuria, Mongolia, Nepal, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Palestine, Poland, Portugal, Primorye, Qinghai, Romania, Sakhalin, Sardegna, Sicilia, Sinai, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Tibet, Transcaucasus, Turkey, Turkey-in-Europe, Turkmenistan, Tuva, Ukraine, Uzbekistan, WestHimalaya, WestSiberia, Xinjiang, Yugoslavia"
Tripleurospermum inodorum,"Albania, Altay, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, Chita, Cyprus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, SouthEuropeanRussi, Spain, Sweden, Switzerland, Tadzhikistan, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, Uzbekistan, WestSiberia, Xinjiang, Yugoslavia"
Plantago coronopus,"Afghanistan, Albania, Algeria, Azores, Baleares, Belgium, Bulgaria, CanaryIs., Corse, Denmark, EastAegeanIs., Egypt, Eritrea, Finland, France, Germany, GreatBritain, Greece, Iran, Iraq, Ireland, Italy, Kriti, Krym, Kuwait, Lebanon-Syria, Libya, Madeira, Morocco, Netherlands, NorthCaucasus, Pakistan, Poland, Portugal, Romania, Sardegna, SaudiArabia, Selvagens, Sicilia, Spain, Sweden, Tadzhikistan, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, WesternSahara, Yugoslavia"
Symphytum officinale,"Altay, Austria, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Czechoslovakia, EastEuropeanRussia, France, Germany, GreatBritain, Hungary, Italy, Kazakhstan, Krym, Netherlands, NorthCaucasus, NorthwestEuropeanR, Poland, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Switzerland, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Anthoxanthum odoratum,"Albania, Algeria, Austria, Azores, Baleares, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CanaryIs., CentralEuropeanRus, Corse, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Madeira, Mongolia, Morocco, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Romania, Sardegna, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, WestSiberia, Yugoslavia"
Alopecurus myosuroides,"Afghanistan, Albania, Algeria, Assam, Belgium, Bulgaria, Corse, Cyprus, EastAegeanIs., Egypt, France, GreatBritain, Greece, Iran, Iraq, Italy, Kazakhstan, Kirgizstan, Kriti, Krym, Lebanon-Syria, Libya, Netherlands, NorthCaucasus, Pakistan, Palestine, Portugal, Romania, SaudiArabia, Sicilia, SouthEuropeanRussi, Spain, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, WestHimalaya, Yugoslavia"
Clematis vitalba,"Afghanistan, Albania, Algeria, Austria, Belgium, Bulgaria, Corse, Czechoslovakia, France, Germany, GreatBritain, Greece, Hungary, Iran, Italy, Kriti, Krym, Laos, Lebanon-Syria, Morocco, Netherlands, NorthCaucasus, Portugal, Romania, Sardegna, Sicilia, Spain, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Ukraine, Yugoslavia"
Myosotis scorpioides,"Afghanistan, Altay, Austria, BalticStates, Belarus, Belgium, Buryatiya, CentralEuropeanRus, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Føroyar, Germany, GreatBritain, Hungary, Iceland, Iran, Iraq, Ireland, Irkutsk, Italy, Kazakhstan, Kirgizstan, Krasnoyarsk, Krym, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Pakistan, Poland, Romania, Sardegna, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Tuva, Ukraine, WestHimalaya, WestSiberia, Yakutskiya, Yugoslavia"
Crataegus monogyna,"Albania, Algeria, Austria, Baleares, BalticStates, Belarus, Belgium, Bulgaria, CentralEuropeanRus, Corse, Cyprus, Czechoslovakia, Denmark, EastAegeanIs., EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, Iraq, Ireland, Italy, Kriti, Krym, Lebanon-Syria, Libya, Morocco, Netherlands, NorthCaucasus, Norway, Palestine, Poland, Portugal, Romania, Sardegna, Sicilia, Sinai, Spain, Sweden, Switzerland, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Ukraine, Yugoslavia"
Tanacetum vulgare,"Albania, Altay, Amur, Austria, BalticStates, Belarus, Belgium, Bulgaria, Buryatiya, CentralEuropeanRus, Chita, Corse, Czechoslovakia, Denmark, EastEuropeanRussia, Finland, France, Germany, GreatBritain, Greece, Hungary, InnerMongolia, Irkutsk, Italy, Japan, Kamchatka, Kazakhstan, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, KurilIs., Magadan, Manchuria, Mongolia, Netherlands, NorthCaucasus, NorthEuropeanRussi, NorthwestEuropeanR, Norway, Poland, Portugal, Primorye, Romania, Sakhalin, Sicilia, SouthEuropeanRussi, Spain, Sweden, Switzerland, Transcaucasus, Turkey, Turkey-in-Europe, Tuva, Ukraine, WestSiberia, Xinjiang, Yakutskiya, Yugoslavia"
