name,occurrences_new
Amaranthus hybridus subsp. patulus,39
Amaranthus hybridus var. chlorostachys,1
Amaranthus hybridus var. erythrostachys,87
Amaranthus hybridus var. hypocondriacus,43
Amaranthus hybridus var. paniculatus,14
Amaranthus hybridus var. patulus,39
Amaranthus hybridus var. typicus,28941
Amaranthus hypocondriacus,912
Amaranthus hypocondriacus var. amentaceus,912
Amaranthus leucocarpus,424
Amaranthus leucospermus,1
Amaranthus paniculatus,61
Amaranthus patulus,914
Amaranthus rudis,175
Amaranthus tamariscinus,53
Amaranthus tricolor,306
Amaranthus tuberculatus,971
Amaranthus tuberculatus var. rudis,9
Ambrosia peruviana,453
Ambulia stipitata,1
Amelanchier arborea var. austromontana,7
Amelanchier spicata,12239
Amelanchier stolonifera,322
Amelichloa brachychaeta,63
Ammi glaucifolium,2
Ammi majus,7424
Ammophila arenaria,75277
Ammophila littoralis,19
Amoria repens,1151
Ampelodesmos pliniana,5
Amsonia hubrichtii,40
Amsonia orientalis,7
Anacharis nuttallii,3
Anacyclus officinarum,1
Anagallis arvensis,70535
Anagallis arvensis forma azurea,352
Anagallis arvensis forma caerulea,90
Anagallis arvensis forma phoenicea,24
Anagallis arvensis subsp. latifolia,13
Anagallis arvensis subsp. phoenicea,24
Anagallis arvensis var. caerulea,90
Anagallis arvensis var. latifolia,13
Anagallis arvensis var. parviflora,68
Anagallis arvensis var. phoenicea,24
Anagallis caerulea,16
Anagallis caerulea var. carnea,331
Anagallis latifolia,12
Anagallis parviflora,3
Anagallis parviflora var. typica,3
Anagallis phoenicea,15
Anagallis platyphylla,1
Anagallis repens,2
Anchusa procera,51
Anchusa sempervirens,10
Anchusa thessala,40
Andropogon aciculatus,6
Andropogon annulatus,2
Andropogon citratus,4
Andropogon contortum,9
Andropogon contortus,9
Andropogon contortus subvar. hispidissimus,9
Andropogon contortus subvar. roxburghii,9
Andropogon contortus subvar. secundus,9
Andropogon contortus subvar. typicus,9
Andropogon contortus var. genuinus,9
Andropogon ischaemum,29
Andropogon secundus,4
Andropogon serratum,77
Andropogon sudanensis,1
Anemone halleri,1905
Anisantha diandra,10118
Anisantha madritensis,7681
Anisantha rigida,1515
Anisantha rubens,3018
Anisantha sterilis,111013
Annona cherimola,879
Annona muricata,1471
Anoda acerifolia,316
Anoda cristata,3311
Anoda cristata var. albiflora,1
Anoda cristata var. brachyantha,4
Anoda cristata var. digitata,4
Anoda hastata,52
Anoda lavateroides,3
Anoda triangularis,4
Anomatheca cruenta,1
Anomatheca laxa,15
Anthemis tomentosa,214
Anthemis triumfettii,264
Anthoxanthum odoratum,627277
Anthoxanthum pilosum,53
Antidesma bunias,2
Antidesma dallachyanum,7
Antirrhinum orontium,363
Antirrhinum orontium var. genuinum,363
Antirrhinum orontium var. typicum,363
Anubias afzelii,21
Anubias coffeefolia,35
Anubias gigantea,49
Anubias heterophylla,55
Apera interrupta,3124
Aphanes australis,23600
Aphanes inexspectata,2440
Apium ammi,31
Apodanthera aspera,40
Aponogeton capuronii,6
Aponogeton desertorum,74
Aponogeton elongatus,84
Aponogeton fenestralis,1
Aponogeton krauseanus,1
Aponogeton longiplumulosus,7
Aponogeton rigidifolius,3
Aponogeton siamensis,135
Aponogeton ulvaceus,32
Aptenia lancifolia,17
Arabidopsis pumila,16
Arceuthobium abietinum,101
Arceuthobium abietinum f.sp. concoloris,101
Arceuthobium americanum,29
Arceuthobium apachecum,33
Arceuthobium californicum,45
Arceuthobium campylopodum,274
Arceuthobium cyanocarpum,79
Arceuthobium douglasii,155
Arceuthobium laricis,35
Arceuthobium littorum,10
Arceuthobium microcarpum,57
Arceuthobium minutissimum,3
Arceuthobium monticola,8
Arceuthobium occidentale,75
Arceuthobium oxycedri,1280
Arceuthobium pini,57
Arceuthobium pusillum,422
Arceuthobium siskiyouense,53
Arceuthobium tsugense,21
Arceuthobium tsugense ssp. amabilae,63
Arceuthobium tsugense ssp. mertensianae,111
Arceuthobium tsugense ssp. tsugense,44
Arceuthobium vaginatum,289
Arctotheca calendula,23867
Ardisia acuminata,1
Areca catechu,187
Arenaria marina,1
Arenaria montana,5918
Arenaria rubra var. marina,1
Arenga pinnata,115
Arenga saccharifera,4
Argemone leiocarpa,4
Argemone leiocarpa var. ochroleucoides,1
Argemone mexicana,3580
Argemone ochroleuca,1535
Argyranthemum pinnatifidum,23
Aristida ternipes,1273
Armoracia aquatica,9
Armoracia lacustris,15
Aronia arbutifolia var. atropurpurea,1
Aronia atropurpurea,3
Aronia floribunda,2
Aronia prunifolia,2018
Aronia x prunifolia,2018
Arracacia xanthorrhiza,149
Arrhenatherum bulbosum,387
Arrhenatherum elatius,518563
Arrhenatherum elatius var. biaristatum,26
Artemisia absinthium,33136
Artemisia absinthium var. insipida,1
Artemisia biennis,3181
Artemisia biennis var. biennis,7
Artemisia biennis var. diffusa,1
Artemisia capillaris,1301
Artemisia frigida,3284
Artemisia heterophylla,6
Artemisia igniaria,29
Artemisia indica,372
Artemisia lactiflora,418
Artemisia officinalis,1
Artemisia opulenta,6
Artemisia opulenta forma genuina,6
Artemisia ruderalis,1
Artemisia sieversiana,986
Artemisia tridentata,2101
Artemisia vulgaris,355782
Artemisia vulgaris var. coarctata,1579
Artemisia vulgaris var. glabra,1
Artemisia vulgaris var. normalis,355782
Arthraxon antsirabensis,15
Arthraxon breviaristatus,11
Arthraxon ciliaris,7
Arthraxon ciliaris subsp. langsdorffii,4
Arthraxon cuspidatus,1
Arthraxon cuspidatus var. genuinus,1
Arthraxon hispidus,12592
Arthraxon hispidus forma breviseta,1
Arthraxon hispidus forma centrasiaticus,8
Arthraxon hispidus forma formosanus,4
Arthraxon hispidus forma hispidissimus,2
Arthraxon hispidus forma japonicus,15
Arthraxon hispidus subsp. centrasiaticus,8
Arthraxon hispidus subsp. ciliaris,1
Arthraxon hispidus var. brevisetus,1
Arthraxon hispidus var. centrasiaticus,8
Arthraxon hispidus var. ciliaris,1
Arthraxon hispidus var. cryptatherus,48
Arthraxon hispidus var. hispidissimus,2
Arthraxon hispidus var. hookeri,7
Arthraxon hispidus var. japonicus,15
Arthraxon hispidus var. muticus,1
Arthraxon japonicus,3
Arthraxon langsdorffii,2
Arthraxon mauritianus,1
Arthraxon micans,35
Arthraxon nudus,2
Arthraxon pauciflorus,13
Arthraxon pauciflorus var. muticus,2
Arthraxon quartinianus,125
Artocarpus heterophyllus,1691
Artocarpus integer,216
Artocarpus integrifolius,13
Arundinaria simonii,19
Arundinella hirta,3334
Arundo aggerum,1
Arundo isiaca,1
Arundo phragmites,72
Arundo phragmites var. humilis,72
Asclepias physocarpa,89
Asperugo procumbens,9435
Asperula laevigata,368
Asplenium foreziense,419
Aster chasei,5
Aster coridifolius,2
Aster curvescens,3
Aster diffusus,1
Aster dumosus,112
Aster dumosus var. coridifolius,1
Aster dumosus var. gracilipes,1
Aster dumosus var. subulifolius,1
Aster foliolosus var. coridifolius,11552
Aster lateriflorus,568
Aster lateriflorus var. angustifolius,2
Aster lateriflorus var. hirsuticaulis,3
Aster lateriflorus var. pendulus,16
Aster lateriflorus var. tenuipes,4
Aster mexicanus,1
Aster patulus,4
Aster riparius,6
Aster salignus,23
Aster schreberi,180
Aster sonorae,1
Aster tenuipes,24
Aster tradescantii,366
Aster vimineus,106
Aster vimineus var. saxatilis,3
Astragalus corrugatus,36
Astragalus crenatus,37
Astragalus galegiformis,55
Athamanta sicula,54
Atriplex acuminata,223
Atriplex argentea,265
Atriplex glauca,719
Atriplex hortensis,2873
Atriplex hortensis ssp. nitens,1
Atriplex hortensis var. atrosanguinea,1
Atriplex hortensis var. rubra,18
Atriplex nitens,141
Atriplex portulacoides,20080
Atriplex semibaccata,11552
Atriplex sphaeromorpha,75
Austrodanthonia penicillata,36
Austrodanthonia racemosa,1
Austroeupatorium inulifolium,828
Avena algeriensis,1
Avena barbata,79494
Avena barbata subvar. hirsuta,18
Avena bulbosa,1
Avena clauda,30
Avena dubia,2
Avena elatior,12
Avena eriantha,19
Avena fatua,49927
Avena fatua ssp. meridionalis,106
Avena fatua var. glabrata,118
Avena fatua var. intermedia,11
Avena fatua var. vilis,1
Avena ludoviciana,406
Avena macrocarpa,2
Avena meridionalis,2
Avena persica,6
Avena pilosa,4
Avena sativa ssp. sterilis,4
Avena sativa var. fatua,38
Avena sativa var. ludoviciana,2
Avena sativa var. sterilis,4
Avena sterilis,7378
Avena sterilis ssp. ludoviciana,1744
Avena sterilis ssp. macrocarpa,3
Avena sterilis subsp. ludoviciana,1744
Avena sterilis var. ludoviciana,1744
Avena tenuis,2
Avena vilis,65
Avena X ludoviciana,406
Azolla pinnata,1591
Baccharis pilularis,6677
Bacopa egensis,29
Bacopa lanigera,30
Bacopa myriophylloides,83
Balanites aegyptiaca,5023
Baldingera arundinacea,10
Ballota hirsuta,3870
Ballota rupestris,4
Balsamita major,103
Bambusa arundinacea,7
Bambusa bambos,86
Bambusa flexuosa,3
Barleria prionitis,207
Barringtonia asiatica,604
Bassia hyssopifolia,967
Bassia prostrata,106
Bauhinia tomentosa,374
Baumea rubiginosa,3438
Beckmannia eruciformis,936
Beckmannia syzigachne,2865
Begonia minor,24
Begonia nelumbiifolia,327
Bellevalia romana,232
Bellevalia trifoliata,332
Bencomia caudata,72
Berberis thunbergii,17354
Berberis thunbergii var. atropurpurea,9
Berberis vulgaris,65194
Betonica grandiflora,5
Betonica officinalis,66912
Betula alnus var. glutinosa,53
Betula glutinosa,1
Bidens aurea var. wrightii,3
Bidens ferulifolia,49
Bidens heterophylla,2
Bifora testiculata,179
Billardiera heterophylla,616
Biscutella didyma,1781
Biscutella eriocarpa,1
Blechum cordatum,2
Blumenbachia insignis,58
Bocconia frutescens,3009
Boehmeria penduliflora,179
Bolbitis fluviatilis,75
Bolbitis heteroclita,517
Bombycilaena erecta,11585
Bonaveria securidaca,3
Bonnaya brachiata,6
Bonnaya ciliata,126
Borago pygmaea,137
Borreria latifolia,694
Borreria latifolia forma fockeana,4
Borreria latifolia var. fockeana,4
Borreria platyphylla,1
Borreria scabrida,1
Botryanthus odorus,1
Brachiaria brizantha,921
Brachiaria decumbens,339
Brachiaria erucaeformis,2
Brachiaria eruciformis,370
Brachiaria paspaloides,40
Brachiaria texana,10
Brachypodium distachyon,18862
Brachypodium distachyum,18862
Brachypodium pubescens,1
Brachypodium sylvaticum,288604
Brachypodium sylvaticum ssp. dumosum,14
Bracteantha bracteata,21
Bradburya pubescens,4
Brassica arvensis,8
Brassica arvensis var. normalis,8
Brassica arvensis var. schkuhriana,1
Brassica kaber,370
Brassica kaber var. pinnatifida,35
Brassica kaber var. schkuhriana,17
Brassica nigra forma villosa,24050
Brassica orientalis,3
Brassica procumbens,17
Brassica sinapis var. orientalis,7161
Brassica sinapistrum,3
Brassica sinapistrum forma brachycarpa,3
Brassica sinapistrum forma dasycarpa,3
Brassica sinapistrum forma leiocarpa,3
Brassica sinapistrum var. villosa,3
Brassica tournefortii,17719
Breea arvensis,83
Breea incana,1
