species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Caulinia orientalis,NA,NA,NA,NA,NA,NA,NA
Centaurea cheiranthifolia,NA,NA,NA,NA,NA,NA,NA
Centaurea glastifolia,NA,NA,NA,NA,NA,NA,NA
Centaurea napifolia,NA,NA,NA,NA,NA,NA,NA
Centaurea pannonica,NA,NA,NA,NA,NA,NA,NA
Centaurea ragusina,NA,NA,NA,NA,NA,NA,NA
Centaurea salicifolia,NA,NA,NA,NA,NA,NA,NA
Centaurea salonitana,NA,NA,NA,NA,NA,NA,NA
Centaurea sicula,NA,NA,NA,NA,NA,NA,NA
Centranthus longiflorus,NA,NA,NA,NA,NA,NA,NA
Cerastium ligusticum,NA,NA,NA,NA,NA,NA,NA
Cerastium perfoliatum,NA,NA,NA,NA,NA,NA,NA
Ceratophyllum pentacanthum,NA,NA,NA,NA,NA,NA,NA
Chamaecytisus albus,NA,NA,NA,NA,NA,NA,NA
Chenopodium acuminatum subsp. virgatum,NA,NA,NA,NA,NA,NA,NA
Chenopodium strictum var. glaucophyllum,533481,20634,(Aellen) Aellen & Just.,Chenopodium strictum ssp. glaucophyllum,523849,Chenopodium strictum,Roth
Chenopodium strictum var. glaucophyllum,533481,20634,(Krasan) Aellen & Iljin,Chenopodium strictum ssp. striatum,524910,Chenopodium strictum,Roth
Chenopodium strictum var. glaucophyllum,533481,20634,Krasan,Chenopodium album var. striatum,525448,Chenopodium strictum,Roth
Chenopodium strictum var. glaucophyllum,533481,20634,Boenn.,Chenopodium album var. microphyllum,527308,Chenopodium strictum,Roth
Chenopodium strictum var. glaucophyllum,533481,20634,(Aellen) Wahl,Chenopodium strictum var. glaucophyllum,533481,Chenopodium strictum,Roth
Chloris pumilio,NA,NA,NA,NA,NA,NA,NA
Citharexylum ellipticum,NA,NA,NA,NA,NA,NA,NA
Clivia nobilis,NA,NA,NA,NA,NA,NA,NA
Clypeola eriocarpa,NA,NA,NA,NA,NA,NA,NA
Cnidium silaifolium,NA,NA,NA,NA,NA,NA,NA
Commelina paludosa,NA,NA,NA,NA,NA,NA,NA
Commicarpus africanus,NA,NA,NA,NA,NA,NA,NA
Consolida uechtritziana,NA,NA,NA,NA,NA,NA,NA
Conyza blakei,NA,NA,NA,NA,NA,NA,NA
Corispermum pallasii subsp. membranaceum,NA,NA,NA,NA,NA,NA,NA
Cornucopiae cucullatum,NA,NA,NA,NA,NA,NA,NA
Corynephorus divaricatus,NA,NA,NA,NA,NA,NA,NA
Cotoneaster cambricus,NA,NA,NA,NA,NA,NA,NA
Cotoneaster insculptus,NA,NA,NA,NA,NA,NA,NA
Cotula squalida,NA,NA,NA,NA,NA,NA,NA
Crambe koktebelica,NA,NA,NA,NA,NA,NA,NA
Crassocephalum subscandens,NA,NA,NA,NA,NA,NA,NA
Crassula pubescens,NA,NA,NA,NA,NA,NA,NA
