genus,species,subspecies,status,source
Ipomoea,aquatica,,listed,FL Prohibited Aquatic Plants
Ipomoea,fistulosa,,listed,FL Prohibited Aquatic Plants
Lagarosiphon,spp.,,listed,FL Prohibited Aquatic Plants
Limnocharis,flava,,listed,FL Prohibited Aquatic Plants
Lythrum,salicaria,,listed,FL Prohibited Aquatic Plants
Melaleuca,quinquenervia,,listed,FL Prohibited Aquatic Plants
Mimosa,pigra,,listed,FL Prohibited Aquatic Plants
Monochoria,hastata,,listed,FL Prohibited Aquatic Plants
Monochoria,vaginalis,,listed,FL Prohibited Aquatic Plants
Myriophyllum,spicatum,,listed,FL Prohibited Aquatic Plants
Nechamandra,alternifolia,,listed,FL Prohibited Aquatic Plants
Oryza,rufipogon,,listed,FL Prohibited Aquatic Plants
Pontederia,rotundifolia,,listed,FL Prohibited Aquatic Plants
Salvinia,spp.,,listed,FL Prohibited Aquatic Plants
Salvinia,minima,,exception,FL Prohibited Aquatic Plants
Schinus,terebinthifolius,,listed,FL Prohibited Aquatic Plants
Sparganium,erectum,,listed,FL Prohibited Aquatic Plants
Stratiotes,aloides,,listed,FL Prohibited Aquatic Plants
Trapa,spp.,,listed,FL Prohibited Aquatic Plants
Vossia,cuspidata,,listed,FL Prohibited Aquatic Plants
Hygrophila,polysperma,,listed,FL Prohibited Aquatic Plants
Limnophila,sessiliflora,,listed,FL Prohibited Aquatic Plants
Pistia,stratiotes,,listed,FL Prohibited Aquatic Plants
Abrus,precatorius,,listed,FLEPPC Category 1
Acacia,auriculiformis,,listed,FLEPPC Category 1
Albizia,julibrissin,,listed,FLEPPC Category 1
Albizia,lebbeck,,listed,FLEPPC Category 1
Ardisia,crenata,,listed,FLEPPC Category 1
Ardisia,elliptica,,listed,FLEPPC Category 1
Asparagus,aethiopicus,,listed,FLEPPC Category 1
Bauhinia,variegata,,listed,FLEPPC Category 1
Bischofia,javanica,,listed,FLEPPC Category 1
Calophyllum,antillanum,,listed,FLEPPC Category 1
Casuarina,equisetifolia,,listed,FLEPPC Category 1
Casuarina,glauca,,listed,FLEPPC Category 1
Cenchrus,purpureus,,listed,FLEPPC Category 1
Pennisetum,purpureum,,listed,FLEPPC Category 1
Cinnamomum,camphora,,listed,FLEPPC Category 1
Colocasia,esculenta,,listed,FLEPPC Category 1
Colubrina,asiatica,,listed,FLEPPC Category 1
Cupaniopsis,anacardioides,,listed,FLEPPC Category 1
Deparia,petersenii,,listed,FLEPPC Category 1
Dioscorea,alata,,listed,FLEPPC Category 1
Dioscorea,bulbifera,,listed,FLEPPC Category 1
Dolichandra,unguis-cati,,listed,FLEPPC Category 1
Macfadyena,unguis-cati,,listed,FLEPPC Category 1
Eichhornia,crassipes,,listed,FLEPPC Category 1
Eugenia,uniflora,,listed,FLEPPC Category 1
Ficus,microcarpa,,listed,FLEPPC Category 1
Hydrilla,verticillata,,listed,FLEPPC Category 1
Hygrophila,polysperma,,listed,FLEPPC Category 1
Hymenachne,amplexicaulis,,listed,FLEPPC Category 1
Imperata,cylindrica,,listed,FLEPPC Category 1
Ipomoea,aquatica,,listed,FLEPPC Category 1
Jasminum,dichotomum,,listed,FLEPPC Category 1
Jasminum,fluminense,,listed,FLEPPC Category 1
Lantana,strigocamara,,listed,FLEPPC Category 1
Ligustrum,lucidum,,listed,FLEPPC Category 1
Ligustrum,sinense,,listed,FLEPPC Category 1
Lonicera,japonica,,listed,FLEPPC Category 1
Ludwigia,peruviana,,listed,FLEPPC Category 1
Lumnitzera,racemosa,,listed,FLEPPC Category 1
Luziola,subintegra,,listed,FLEPPC Category 1
Lygodium,japonicum,,listed,FLEPPC Category 1
Lygodium,microphyllum,,listed,FLEPPC Category 1
Manilkara,zapota,,listed,FLEPPC Category 1
Melaleuca,quinquenervia ,,listed,FLEPPC Category 1
Melinis,repens,,listed,FLEPPC Category 1
Microsorum,grossum,,listed,FLEPPC Category 1
Microstegium,vimineum,,listed,FLEPPC Category 1
Mimosa,pigra,,listed,FLEPPC Category 1
Nandina,domestica,,listed,FLEPPC Category 1
Nephrolepis,brownii,,listed,FLEPPC Category 1
Nephrolepis,cordifolia,,listed,FLEPPC Category 1
Neyraudia,reynaudiana,,listed,FLEPPC Category 1
Nymphoides,cristata,,listed,FLEPPC Category 1
Paederia,cruddasiana,,listed,FLEPPC Category 1
Paederia,foetida,,listed,FLEPPC Category 1
Panicum,repens,,listed,FLEPPC Category 1
Pistia,stratiotes,,listed,FLEPPC Category 1
Psidium,cattleianum,,listed,FLEPPC Category 1
Psidium,guajava,,listed,FLEPPC Category 1
Pueraria,montana,,listed,FLEPPC Category 1
var.,lobata,,listed,FLEPPC Category 1
Rhodomyrtus,tomentosa,,listed,FLEPPC Category 1
Ruellia,simplex,,listed,FLEPPC Category 1
Salvinia,minima,,listed,FLEPPC Category 1
Scaevola,taccada,,listed,FLEPPC Category 1
Schefflera,actinophylla,,listed,FLEPPC Category 1
Schinus,terebinthifolia,,listed,FLEPPC Category 1
Scleria,lacustris,,listed,FLEPPC Category 1
Scleria,microcarpa,,listed,FLEPPC Category 1
Senna,pendula,,listed,FLEPPC Category 1
var.,glabrata,,listed,FLEPPC Category 1
Solanum,tampicense,,listed,FLEPPC Category 1
Solanum,viarum,,listed,FLEPPC Category 1
Sporobolus,jacquemontii,,listed,FLEPPC Category 1
Syngonium,podophyllum,,listed,FLEPPC Category 1
Syzygium,cumini,,listed,FLEPPC Category 1
Tectaria,incisa,,listed,FLEPPC Category 1
Thelypteris,opulenta,,listed,FLEPPC Category 1
Thespesia,populnea,,listed,FLEPPC Category 1
Tradescantia,fluminensis,,listed,FLEPPC Category 1
Tradescantia,spathacea,,listed,FLEPPC Category 1
Triadica,sebifera,,listed,FLEPPC Category 1
Sapium,sebiferum,,listed,FLEPPC Category 1
Urena,lobata,,listed,FLEPPC Category 1
Urochloa,mutica,,listed,FLEPPC Category 1
Vitex,rotundifolia ,,listed,FLEPPC Category 1
Adenanthera,pavonina,,listed,FLEPPC Category 2
Agave,sisalana,,listed,FLEPPC Category 2
Alstonia,macrophylla,,listed,FLEPPC Category 2
Alternanthera,philoxeroides,,listed,FLEPPC Category 2
Antigonon,leptopus,,listed,FLEPPC Category 2
Ardisia,japonica,,listed,FLEPPC Category 2
Aristolochia,elegans,,listed,FLEPPC Category 2
Aristolochia,littoralis,,listed,FLEPPC Category 2
Asystasia,gangetica,,listed,FLEPPC Category 2
Begonia,cucullata,,listed,FLEPPC Category 2
Broussonetia,papyrifera,,listed,FLEPPC Category 2
Bruguiera,gymnorrhiza,,listed,FLEPPC Category 2
Callisia,fragrans,,listed,FLEPPC Category 2
Casuarina,cunninghamiana,,listed,FLEPPC Category 2
Cecropia,palmata,,listed,FLEPPC Category 2
Cenchrus,polystachios,,listed,FLEPPC Category 2
Pennisetum,polystachios,,listed,FLEPPC Category 2
Cenchrus,setaceus,,listed,FLEPPC Category 2
Pennisetum,setaceum,,listed,FLEPPC Category 2
Cestrum,diurnum,,listed,FLEPPC Category 2
Chamaedorea,seifrizii,,listed,FLEPPC Category 2
Clematis,terniflora,,listed,FLEPPC Category 2
Cocos,nucifera,,listed,FLEPPC Category 2
Crassocephalum,crepidioides,,listed,FLEPPC Category 2
Cryptostegia,madagascariensis,,listed,FLEPPC Category 2
Cyperus,involucratus,,listed,FLEPPC Category 2
Cyperus,prolifer,,listed,FLEPPC Category 2
Dactyloctenium,aegyptium,,listed,FLEPPC Category 2
Dalbergia,sissoo,,listed,FLEPPC Category 2
Dalechampia,scandens,,listed,FLEPPC Category 2
Distimake,tuberosus,,listed,FLEPPC Category 2
Merremia,tuberosa,,listed,FLEPPC Category 2
Dracaena,hyacinthoides,,listed,FLEPPC Category 2
Sansevieria,hyacinthoides,,listed,FLEPPC Category 2
Elaeagnus,pungens,,listed,FLEPPC Category 2
Elaeagnus,umbellata,,listed,FLEPPC Category 2
Epipremnum,pinnatum, cv. Aureum,listed,FLEPPC Category 2
Eulophia,graminea,,listed,FLEPPC Category 2
Ficus,altissima,,listed,FLEPPC Category 2
Flacourtia,indica,,listed,FLEPPC Category 2
Hemarthria,altissima,,listed,FLEPPC Category 2
Heteropterys,brachtiata,,listed,FLEPPC Category 2
Hyparrhenia,rufa,,listed,FLEPPC Category 2
Ipomoea,carnea,,listed,FLEPPC Category 2
subsp,fistulosa,,listed,FLEPPC Category 2
Kalanchoe,x houghtonii,,listed,FLEPPC Category 2
Kalanchoe,pinnata ,,listed,FLEPPC Category 2
Koelreuteria,elegans,subsp. Formosana,listed,FLEPPC Category 2
Landoltia,punctata,,listed,FLEPPC Category 2
Leucaena,leucocephala,,listed,FLEPPC Category 2
Limnophila,sessiliflora,,listed,FLEPPC Category 2
Livistona,chinensis,,listed,FLEPPC Category 2
Macroptilium,lathyroides,,listed,FLEPPC Category 2
Melaleuca,viminalis,,listed,FLEPPC Category 2
Callistemon,viminalis,,listed,FLEPPC Category 2
Melia,azedarach,,listed,FLEPPC Category 2
Melinis,minutiflora,,listed,FLEPPC Category 2
Mikania,micrantha,,listed,FLEPPC Category 2
Momordica,charantia,,listed,FLEPPC Category 2
Murraya,paniculata,,listed,FLEPPC Category 2
Myriophyllum,spicatum,,listed,FLEPPC Category 2
Passiflora,biflora,,listed,FLEPPC Category 2
Phoenix,reclinata,,listed,FLEPPC Category 2
Phyllostachys,aurea,,listed,FLEPPC Category 2
Pittosporum,pentandrum,,listed,FLEPPC Category 2
Platycerium,bifurcatum,,listed,FLEPPC Category 2
Praxelis,clematidea,,listed,FLEPPC Category 2
Pteris,vittata,,listed,FLEPPC Category 2
Ptychosperma,elegans,,listed,FLEPPC Category 2
Richardia,grandiflora,,listed,FLEPPC Category 2
Ricinus,communis,,listed,FLEPPC Category 2
Rotala,rotundifolia,,listed,FLEPPC Category 2
Ruellia,blechum,,listed,FLEPPC Category 2
Sesbania,punicea,,listed,FLEPPC Category 2
Sida,planicaulis,,listed,FLEPPC Category 2
Solanum,diphyllum,,listed,FLEPPC Category 2
Solanum,torvum,,listed,FLEPPC Category 2
Spermacoce,verticillata,,listed,FLEPPC Category 2
Sphagneticola,trilobata,,listed,FLEPPC Category 2
Stachytarpheta,cayennensis,,listed,FLEPPC Category 2
Syagrus,romanzoffiana,,listed,FLEPPC Category 2
Syzygium,jambos,,listed,FLEPPC Category 2
Talipariti,tiliaceum,,listed,FLEPPC Category 2
