Name,Accepted name,Climate match,Naturalized in FL,FL noxious weed list,Federal noxious weed list,Naturalized somewhere,Weedy history,Global occurrences
Abelmoschus moschatus,Abelmoschus moschatus,yes,no,no,no,yes,yes,1648
Abutilon arnottianum,Abutilon grandifolium,yes,yes,no,no,yes,yes,0
Abutilon grandifolium,Abutilon grandifolium,yes,yes,no,no,yes,yes,534
Abutilon molle,Abutilon grandifolium,yes,yes,no,no,yes,yes,0
Sida arnottiana,Abutilon grandifolium,yes,yes,no,no,yes,yes,0
Sida grandifolia,Abutilon grandifolium,yes,yes,no,no,yes,yes,0
Sida mollis,Abutilon grandifolium,yes,yes,no,no,yes,yes,0
Abutilon indicum,Abutilon indicum,yes,no,no,no,yes,yes,1387
Acacia colei,Acacia colei,yes,no,no,no,yes,no,1144
Acacia crassicarpa,Acacia crassicarpa,yes,no,no,no,yes,yes,1107
Acacia cyclops,Acacia cyclops,yes,no,no,no,yes,yes,1977
Acacia dealbata,Acacia dealbata,yes,no,no,no,yes,yes,31647
Acacia decurrens,Acacia decurrens,yes,no,no,no,yes,yes,3845
Acacia glauca,Acacia glauca,yes,no,no,no,yes,yes,1
Acacia karroo,Acacia karroo,yes,no,no,no,yes,yes,1045
Acacia longifolia,Acacia longifolia,yes,no,no,no,yes,yes,23596
Acacia mearnsii,Acacia mearnsii,yes,no,no,no,yes,yes,17643
Acacia melanoxylon,Acacia melanoxylon,yes,no,no,no,yes,yes,39863
Acacia mellifera,Acacia mellifera,yes,no,no,no,no,yes,80
Acacia cyanophylla,Acacia saligna,yes,yes,no,no,yes,yes,125
Acacia saligna,Acacia saligna,yes,yes,no,no,yes,yes,5213
Mimosa saligna,Acacia saligna,yes,yes,no,no,yes,yes,0
Racosperma salignum,Acacia saligna,yes,yes,no,no,yes,yes,0
Acacia verticillata,Acacia verticillata,yes,no,no,no,yes,yes,12787
Acer platanoides,Acer platanoides,yes,no,no,no,yes,yes,163732
Acer pseudoplatanus,Acer pseudoplatanus,yes,no,no,no,yes,yes,427813
Acer rufinerve,Acer rufinerve,yes,no,no,no,yes,yes,1599
Acetosa lunaria,Acetosa lunaria,no,no,no,no,no,no,0
Achillea arabica,Achillea arabica,no,no,no,no,yes,no,256
Achillea biebersteinii,Achillea biebersteinii,yes,no,no,no,no,yes,125
Achillea maritima,Achillea maritima,no,no,no,no,no,no,966
Achillea pannonica,Achillea pannonica,yes,no,no,no,no,yes,1300
Achillea ptarmica,Achillea ptarmica,yes,no,no,no,yes,yes,179967
Achillea punctata,Achillea punctata,yes,no,no,no,no,no,0
Achillea seidlii,Achillea seidlii,no,no,no,no,yes,no,20
Achillea stricta,Achillea stricta,no,no,no,no,no,yes,0
Achillea stricta,Achillea stricta,no,no,no,no,no,yes,0
Achnatherum hymenoides,Achnatherum hymenoides,yes,no,no,no,no,no,2974
Achnatherum splendens,Achnatherum splendens,no,no,no,no,yes,yes,173
Stipa schlagintweitii,Achnatherum splendens,no,no,no,no,yes,yes,0
Stipa splendens,Achnatherum splendens,no,no,no,no,yes,yes,363
Achyranthes japonica,Achyranthes japonica,yes,no,no,no,no,yes,877
Acmella uliginosa,Acmella uliginosa,yes,no,no,no,yes,yes,509
Acmispon americanus var. americanus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,1004
Hosackia americana,Acmispon americanus var. americanus,yes,no,no,no,no,yes,0
Lotus americanus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,15
Lotus purshianus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,13
Lotus purshianus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,13
Lotus purshianus var. glaber,Acmispon americanus var. americanus,yes,no,no,no,no,yes,0
Lotus sericeus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,0
Lotus unifoliolatus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,64
Lotus unifoliolatus var. unifoliolatus,Acmispon americanus var. americanus,yes,no,no,no,no,yes,19
Aconitum lycoctonum,Aconitum lycoctonum,yes,no,no,no,yes,yes,29986
Aconogonon alpinum,Aconogonon alpinum,yes,no,no,no,no,yes,544
Aconogonon alpinum,Aconogonon alpinum,yes,no,no,no,no,yes,544
Aconogonum alpinum,Aconogonon alpinum,yes,no,no,no,no,yes,14
Pleuropteropyrum alpinum,Aconogonon alpinum,yes,no,no,no,no,yes,0
Polygonum alpinum,Aconogonon alpinum,yes,no,no,no,no,yes,0
Acrocarpus fraxinifolius,Acrocarpus fraxinifolius,yes,no,no,no,yes,no,125
Actinoscirpus grossus,Actinoscirpus grossus,yes,no,no,no,no,yes,261
Scirpus grossus,Actinoscirpus grossus,yes,no,no,no,no,yes,87
Adenocaulon adhaerescens,Adenocaulon himalaicum,yes,no,no,no,yes,no,6
Adenocaulon himalaicum,Adenocaulon himalaicum,yes,no,no,no,yes,no,974
Adenostoma fasciculatum,Adenostoma fasciculatum,yes,no,no,no,no,yes,4085
Adiantum raddianum,Adiantum raddianum,yes,no,no,no,yes,yes,1947
Aegagropila linnaei,Aegagropila linnaei,no,no,no,no,no,no,847
Aegilops caudata,Aegilops caudata,no,no,no,no,no,no,751
Aegilops cylindrica,Aegilops cylindrica,yes,no,no,no,yes,yes,3487
Aeschynomene fluitans,Aeschynomene fluitans,yes,yes,no,no,no,no,95
Aeschynomene cachemiriana,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene diffusa,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene glaberrima,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene herbacea,Aeschynomene indica,yes,yes,no,no,yes,yes,1
Aeschynomene indica,Aeschynomene indica,yes,yes,no,no,yes,yes,3593
Aeschynomene indica var. punctata,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene indica var. viscosa,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene macropoda,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene montana,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene oligantha,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene pumila,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene quadrata,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene roxburghii,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene subviscosa,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aeschynomene viscidula,Aeschynomene indica,yes,yes,no,no,yes,yes,250
Hedysarum alpinum,Aeschynomene indica,yes,yes,no,no,yes,yes,1242
Hedysarum neli-tali,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Hedysarum virginicum,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Smithia aspera,Aeschynomene indica,yes,yes,no,no,yes,yes,0
Aetheorhiza bulbosa,Aetheorhiza bulbosa,no,no,no,no,yes,yes,1401
Ageratina riparia,Ageratina riparia,yes,no,no,yes,yes,yes,1702
Agropyron cristatum,Agropyron cristatum,yes,no,no,no,yes,yes,4241
Agrostis capillaris,Agrostis capillaris,yes,no,no,no,yes,yes,524201
Agrestis hyemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis antecedens,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis aphanes,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis canina var. hiemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis canina var. hyemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis hiemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis hyemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,1577
Agrostis hyemalis var. hyemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,65
Agrostis laxiflora,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Agrostis leptos,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Cornucopiae hyemalis,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Trichodium laxiflorum,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Trichodium laxum,Agrostis hyemalis,yes,no,no,no,yes,yes,0
Aizoon canariense,Aizoon canariense,yes,no,no,no,yes,yes,898
Ajuga chamaepitis,Ajuga chamaepitis,no,no,no,no,no,no,0
Ajuga pyramidalis,Ajuga pyramidalis,no,no,no,no,yes,yes,48149
Akebia micrantha,Akebia quinata,yes,yes,no,no,yes,yes,0
Akebia quinata,Akebia quinata,yes,yes,no,no,yes,yes,1610
Akebia quinata forma albiflora,Akebia quinata,yes,yes,no,no,yes,yes,0
Akebia quinata forma diplochlamys,Akebia quinata,yes,yes,no,no,yes,yes,1
Akebia quinata forma polyphylla,Akebia quinata,yes,yes,no,no,yes,yes,1
Akebia quinata forma viridiflora,Akebia quinata,yes,yes,no,no,yes,yes,1
Akebia quinata var. diplochlamys,Akebia quinata,yes,yes,no,no,yes,yes,0
Akebia quinata var. polyphylla,Akebia quinata,yes,yes,no,no,yes,yes,0
Akebia quinata var. yechi,Akebia quinata,yes,yes,no,no,yes,yes,0
Rajania quinata,Akebia quinata,yes,yes,no,no,yes,yes,0
Albizia carbonaria,Albizia carbonaria,yes,no,no,no,yes,yes,254
Albizia chinensis,Albizia chinensis,yes,no,no,no,yes,yes,346
Acacia procera,Albizia procera,yes,yes,no,no,yes,yes,0
Acacia procera var. elata,Albizia procera,yes,yes,no,no,yes,yes,0
Acacia procera var. roxburghiana,Albizia procera,yes,yes,no,no,yes,yes,0
Albizia procera,Albizia procera,yes,yes,no,no,yes,yes,546
Feuilleea procera,Albizia procera,yes,yes,no,no,yes,yes,0
Mimosa coriaria,Albizia procera,yes,yes,no,no,yes,yes,0
Mimosa elata,Albizia procera,yes,yes,no,no,yes,yes,0
Mimosa procera,Albizia procera,yes,yes,no,no,yes,yes,0
Alchemilla gibberulosa,Alchemilla gibberulosa,no,no,no,no,no,no,73
Alchemilla glabricaulis,Alchemilla glabricaulis,no,no,no,no,no,yes,267
Alchemilla glaucescens,Alchemilla glaucescens,no,no,no,no,yes,yes,24485
Alchemilla hirsuticaulis,Alchemilla hirsuticaulis,no,no,no,no,no,no,736
Alchemilla leiophylla,Alchemilla leiophylla,no,no,no,no,no,yes,84
Alectra fulminensis,Alectra fulminensis,yes,no,yes,no,no,no,0
Alectra vogelii,Alectra vogelii,yes,no,yes,no,no,yes,66
Alhagi maurorum,Alhagi maurorum,yes,no,no,no,yes,yes,1015
Alhagi nepalensis,Alhagi nepalensis,no,no,no,no,no,no,1
Alisma subcordatum,Alisma subcordatum,no,no,no,no,no,no,596
Alkanna lycopsoides,Alkanna lycopsoides,yes,no,no,no,no,no,0
Allium pyrenaicum,Allium pyrenaicum,yes,no,no,no,no,no,222
Allium siculum,Allium siculum,no,no,no,no,yes,yes,201
Nectaroscordum siculum,Allium siculum,no,no,no,no,yes,yes,75
Allium subhirsutum var. subvillosum,Allium subhirsutum var. subvillosum,no,no,no,no,no,no,0
Allium subvillosum,Allium subvillosum,no,no,no,no,no,no,827
Allium unifolium,Allium unifolium,no,no,no,no,no,yes,202
Alnus glutinosa,Alnus glutinosa,yes,no,no,no,yes,yes,471663
Alocasia commutata,Alocasia odora,no,yes,no,no,yes,yes,0
Alocasia odora,Alocasia odora,no,yes,no,no,yes,yes,598
Alocasia subodora,Alocasia odora,no,yes,no,no,yes,yes,0
Alocasia tonkinensis,Alocasia odora,no,yes,no,no,yes,yes,0
Arum odorum,Alocasia odora,no,yes,no,no,yes,yes,0
Caladium odoratissimum,Alocasia odora,no,yes,no,no,yes,yes,0
Caladium odorum,Alocasia odora,no,yes,no,no,yes,yes,0
Colocasia odora,Alocasia odora,no,yes,no,no,yes,yes,0
Colocasia odora var rubra,Alocasia odora,no,yes,no,no,yes,yes,0
Colocasia odora var. viridis,Alocasia odora,no,yes,no,no,yes,yes,0
Aloe latifolia,Aloe latifolia,yes,no,no,no,no,no,4
Aloe maculata,Aloe maculata,no,no,no,no,yes,yes,862
Alopecurus arundinaceus,Alopecurus arundinaceus,no,no,no,no,yes,yes,5129
Alopecurus alpinus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus f. altaicus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus f. stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus f. stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus ssp. alpinus,Alopecurus magellanicus,no,no,no,no,no,yes,5
Alopecurus alpinus ssp. borealis,Alopecurus magellanicus,no,no,no,no,no,yes,4
Alopecurus alpinus ssp. glaucus,Alopecurus magellanicus,no,no,no,no,no,yes,2
Alopecurus alpinus ssp. stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,2
Alopecurus alpinus ssp. stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,2
Alopecurus alpinus var. altaicus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus var. borealis,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus var. glaucus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus var. occidentalis,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus var. stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus alpinus var. stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus altaicus,Alopecurus magellanicus,no,no,no,no,no,yes,2
Alopecurus antarcticus var. triceps,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus behringianus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus borealis,Alopecurus magellanicus,no,no,no,no,no,yes,1067
Alopecurus borealis ssp. borealis,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus borealis ssp. glaucus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus glacus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus glaucus,Alopecurus magellanicus,no,no,no,no,no,yes,10
Alopecurus glaucus var. altaicus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus howellii var. howellii,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus magellanicus,Alopecurus magellanicus,no,no,no,no,no,yes,2558
Alopecurus occidentalis,Alopecurus magellanicus,no,no,no,no,no,yes,1
Alopecurus pseudobrachystachyus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus roshevitzianus,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus stejnegeri,Alopecurus magellanicus,no,no,no,no,no,yes,14
Alopecurus tenuis,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus triceps,Alopecurus magellanicus,no,no,no,no,no,yes,0
Alopecurus myosuroides,Alopecurus myosuroides,yes,no,no,no,yes,yes,67675
Alopecurus pratensis,Alopecurus pratensis,yes,no,no,no,yes,yes,281793
Alpinia purpurata,Alpinia purpurata,yes,no,no,no,yes,yes,839
Alternanthera bettzickiana,Alternanthera bettzickiana,no,no,no,no,yes,yes,369
Alternanthera bettzickiana,Alternanthera bettzickiana,no,no,no,no,yes,yes,369
Alternanthera bettzickiana,Alternanthera bettzickiana,no,no,no,no,yes,yes,369
Alternanthera halimifolia,Alternanthera halimifolia,yes,no,no,no,yes,yes,157
Alternanthera paronychioides,Alternanthera paronychioides,yes,no,no,no,yes,yes,364
Alyssum corsicum,Alyssum corsicum,yes,no,no,no,yes,yes,50
Alyssum desertorum,Alyssum desertorum,yes,no,no,no,yes,yes,971
Alyssum robertianum,Alyssum robertianum,no,no,no,no,no,no,86
Alyssum mimus,Alyssum simplex,yes,no,no,no,yes,yes,0
Alyssum mimus var. micranthum,Alyssum simplex,yes,no,no,no,yes,yes,0
Alyssum minus,Alyssum simplex,yes,no,no,no,yes,yes,408
Alyssum minus var. micranthum,Alyssum simplex,yes,no,no,no,yes,yes,38
Alyssum minus var. micranthum,Alyssum simplex,yes,no,no,no,yes,yes,38
Alyssum parviflorum,Alyssum simplex,yes,no,no,no,yes,yes,0
Alyssum parviflorum,Alyssum simplex,yes,no,no,no,yes,yes,0
Alyssum parviflorum var. micranthum,Alyssum simplex,yes,no,no,no,yes,yes,26
Alyssum simplex,Alyssum simplex,yes,no,no,no,yes,yes,5680
Clypeola minor,Alyssum simplex,yes,no,no,no,yes,yes,0
Clypeola minus,Alyssum simplex,yes,no,no,no,yes,yes,0
Amaranthus graecizans,Amaranthus graecizans,yes,no,no,no,yes,yes,4310
Amaranthus chlorostachys,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus chlorostachys var. erythrostachys,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus cruentus,Amaranthus hybridus,yes,yes,no,no,yes,yes,3335
Amaranthus flavus,Amaranthus hybridus,yes,yes,no,no,yes,yes,2
Amaranthus frumentaceus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hecticus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus,Amaranthus hybridus,yes,yes,no,no,yes,yes,30893
Amaranthus hybridus subsp. cruentus,Amaranthus hybridus,yes,yes,no,no,yes,yes,518
