Name,Accepted name,Climate match,Naturalized in FL,FL noxious weed list,Federal noxious weed list,Naturalized somewhere,Weedy history,Global occurrences
Amaranthus hybridus subsp. cruentus,Amaranthus hybridus,yes,yes,no,no,yes,yes,518
Amaranthus hybridus subsp. hypocondriacus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus subsp. incurvatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,2
Amaranthus hybridus subsp. paniculatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus subsp. paniculatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus subsp. patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,12
Amaranthus hybridus subsp. patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,12
Amaranthus hybridus subsp. patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,12
Amaranthus hybridus var. chlorostachys,Amaranthus hybridus,yes,yes,no,no,yes,yes,2
Amaranthus hybridus var. erythrostachys,Amaranthus hybridus,yes,yes,no,no,yes,yes,93
Amaranthus hybridus var. hypocondriacus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. leucocarpus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. paniculatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. paniculatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hybridus var. typicus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hypocondriacus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hypocondriacus var. amentaceus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus incurvatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus laetus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus leucocarpus,Amaranthus hybridus,yes,yes,no,no,yes,yes,425
Amaranthus leucospermus,Amaranthus hybridus,yes,yes,no,no,yes,yes,1
Amaranthus paniculatus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus paniculatus var. cruentus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus patulus,Amaranthus hybridus,yes,yes,no,no,yes,yes,750
Amaranthus retroflexus var. chlorostachys,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus retroflexus var. hybridus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus strictus,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Galliaria hybrida,Amaranthus hybridus,yes,yes,no,no,yes,yes,0
Amaranthus hypochondriacus,Amaranthus hypochondriacus,no,no,no,no,yes,yes,21875
Amaranthus tricolor,Amaranthus tricolor,yes,no,no,no,yes,yes,347
Amaranthus tuberculatus,Amaranthus tuberculatus,yes,no,no,no,yes,yes,1057
Ambrosia peruviana,Ambrosia peruviana,yes,no,no,no,yes,yes,346
Amelanchier spicata,Amelanchier spicata,yes,no,no,no,yes,yes,10689
Achnatherum brachychaetum,Amelichloa brachychaeta,yes,no,no,no,yes,yes,7
Amelichloa brachychaeta,Amelichloa brachychaeta,yes,no,no,no,yes,yes,118
Nassella brachychaeta,Amelichloa brachychaeta,yes,no,no,no,yes,yes,0
Stipa brachychaeta,Amelichloa brachychaeta,yes,no,no,no,yes,yes,142
Ammannia crassicaulis,Ammannia crassicaulis,no,no,no,no,no,no,79
Ammi boeberi,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi broussonetii,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi cicutifolium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi diversifolium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi diversifolium var. glaucifolium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi diversifolium var. intermedium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi diversifolium var. latifolium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi elatum,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi glaucifolium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi intermedium,Ammi majus,yes,yes,no,no,yes,yes,0
Ammi majus,Ammi majus,yes,yes,no,no,yes,yes,7992
Apium ammi,Ammi majus,yes,yes,no,no,yes,yes,0
Apium ammi,Ammi majus,yes,yes,no,no,yes,yes,0
Apium ammi-majus,Ammi majus,yes,yes,no,no,yes,yes,0
Apium petraeum,Ammi majus,yes,yes,no,no,yes,yes,0
Carum majus,Ammi majus,yes,yes,no,no,yes,yes,0
Selinum ammoides,Ammi majus,yes,yes,no,no,yes,yes,0
Sison majus,Ammi majus,yes,yes,no,no,yes,yes,0
Visnaga vulgaris,Ammi majus,yes,yes,no,no,yes,yes,0
Ammophila arenaria,Ammophila arenaria,yes,no,no,no,yes,yes,48205
Amoria angulata,Amoria angulata,no,no,no,no,no,no,0
Ampelodesmos pliniana,Ampelodesmos pliniana,no,no,no,no,no,no,0
Amphibromus neesii,Amphibromus neesii,no,no,no,no,yes,yes,562
Helictotrichon neesii,Amphibromus neesii,no,no,no,no,yes,yes,1
Amsonia hubrichtii,Amsonia hubrichtii,yes,no,no,no,no,no,22
Amsonia orientalis,Amsonia orientalis,no,no,no,no,no,no,13
Anacyclus officinarum,Anacyclus pyrethrum,yes,no,no,no,yes,no,2
Anacyclus pyrethrum,Anacyclus pyrethrum,yes,no,no,no,yes,no,46
Anaphalioides bellidioides,Anaphalioides bellidioides,no,no,no,no,yes,yes,3239
Helichrysum bellidioides,Anaphalioides bellidioides,no,no,no,no,yes,yes,10
Anchusa officinalis,Anchusa officinalis,no,no,no,no,yes,yes,25987
Anchusa procera,Anchusa officinalis,no,no,no,no,yes,yes,44
Anchusa thessala,Anchusa thessala,yes,no,no,no,no,no,11
Anemone halleri,Anemone halleri,yes,no,no,no,yes,no,1592
Anemone pulsatilla,Anemone pulsatilla,yes,no,no,no,no,yes,0
Pulsatilla vulgaris,Anemone pulsatilla,yes,no,no,no,no,yes,50762
Anidrum testiculatum,Anidrum testiculatum,no,no,no,no,no,no,0
Annona cherimola,Annona cherimola,yes,no,no,no,yes,yes,945
Annona muricata,Annona muricata,yes,no,no,no,yes,yes,1201
Anoda arizonica var. digitata,Anoda cristata,yes,yes,no,no,yes,yes,0
Anoda brachyantha,Anoda cristata,yes,yes,no,no,yes,yes,1
Anoda cristata,Anoda cristata,yes,yes,no,no,yes,yes,3393
Anoda cristata var. albiflora,Anoda cristata,yes,yes,no,no,yes,yes,1
Anoda cristata var. brachyantha,Anoda cristata,yes,yes,no,no,yes,yes,7
Anoda cristata var. digitata,Anoda cristata,yes,yes,no,no,yes,yes,3
Anoda dilleniana,Anoda cristata,yes,yes,no,no,yes,yes,1
Anoda lavateroides,Anoda cristata,yes,yes,no,no,yes,yes,3
Anoda populifolia,Anoda cristata,yes,yes,no,no,yes,yes,1
Anoda triangularis,Anoda cristata,yes,yes,no,no,yes,yes,11
Anoda triangularis var. digitata,Anoda cristata,yes,yes,no,no,yes,yes,0
Anoda triloba,Anoda cristata,yes,yes,no,no,yes,yes,4
Sida centrota,Anoda cristata,yes,yes,no,no,yes,yes,0
Sida cristata,Anoda cristata,yes,yes,no,no,yes,yes,0
Sida deltoidea,Anoda cristata,yes,yes,no,no,yes,yes,0
Sida dilleniana,Anoda cristata,yes,yes,no,no,yes,yes,0
Sida mexicana,Anoda cristata,yes,yes,no,no,yes,yes,0
Sida quinqueangulata,Anoda cristata,yes,yes,no,no,yes,yes,0
Sida triangularis,Anoda cristata,yes,yes,no,no,yes,yes,0
Anthemis tomentosa,Anthemis tomentosa,yes,no,no,no,no,yes,200
Anthemis triumfettii,Anthemis triumfettii,yes,no,no,no,no,yes,362
Anthoxanthum monticola ssp. alpinum,Anthoxanthum monticola ssp. alpinum,no,no,no,no,no,no,567
Anthoxanthum nitens,Anthoxanthum nitens,no,no,no,no,yes,yes,22865
Avena odorata,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Dimesia fragrans,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Hierochloe borealis,Anthoxanthum nitens,no,no,no,no,yes,yes,8
Hierochloe fragrans,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Hierochloe nashii,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Hierochloe odorata,Anthoxanthum nitens,no,no,no,no,yes,yes,9701
Hierochloe odorata,Anthoxanthum nitens,no,no,no,no,yes,yes,9701
Hierochloe odorata f. eamesii,Anthoxanthum nitens,no,no,no,no,yes,yes,1
Hierochloe odorata ssp. dahurica,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Hierochloe odorata var. fragrans,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Holcus borealis,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Holcus fragrans,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Holcus odoratus,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Poa nitens,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Savastana nashii,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Savastana odorata,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Savastana odorata var. fragrans,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Torresia nashii,Anthoxanthum nitens,no,no,no,no,yes,yes,0
Torresia odorata,Anthoxanthum nitens,no,no,no,no,yes,yes,1
Anthoxanthum odoratum,Anthoxanthum odoratum,yes,no,no,no,yes,yes,547771
Antidesma bunias,Antidesma bunius,yes,no,no,no,yes,yes,2
Antidesma bunius,Antidesma bunius,yes,no,no,no,yes,yes,677
Antidesma dallachyanum,Antidesma bunius,yes,no,no,no,yes,yes,3
Anubias afzelii,Anubias afzelii,yes,no,no,no,no,no,28
Anubias coffeefolia,Anubias coffeefolia,no,no,no,no,no,no,0
Anubias gigantea,Anubias gigantea,no,no,no,no,no,no,50
Anubias heterophylla,Anubias heterophylla,no,no,no,no,no,no,55
Aparinanthus verticillatus,Aparinanthus verticillatus,no,no,no,no,no,no,0
Apera interrupta,Apera interrupta,yes,no,no,no,yes,yes,3354
Aphanes australis,Aphanes australis,no,yes,no,no,yes,yes,24502
