name,occurrences
Anoda triangularis var. digitata,0
Anoda triloba,4
Anomatheca cruenta,1
Anomatheca laxa,21
Anserina candicans,0
Anthyllis cuneata,0
Antirrhinum arvense,0
Antirrhinum calycinum var. rubrum,0
Antirrhinum canadense,0
Antirrhinum canadense var. assurgens,0
Antirrhinum craniolare,0
Antirrhinum humile,0
Antirrhinum jamaicense,0
Antirrhinum orontium,1645
Antirrhinum orontium var. foliosum,0
Antirrhinum orontium var. genuinum,0
Antirrhinum orontium var. typicum,0
Aphanes inexspectata,2128
Apium ammi,0
Apium ammi-majus,0
Apium petraeum,0
Aquarius grandiflorus,0
Archontophoenix elegans,0
Archontophoenix jardinei,0
Arenaria halophila,0
Arenaria marina,0
Arenaria rubra var. marina,13
Arenaria salina,1
Argemone leiocarpa,5
Argemone leiocarpa var. mexicanoides,0
Argemone leiocarpa var. ochroleucoides,1
Argemone mexicana forma leiocarpa,0
Argemone mexicana var. lutea,0
Argemone mexicana var. ochroleuca,0
Argemone mexicana var. parviflora,0
Argemone mexicana var. typica,0
Argemone ochroleuca,2601
Argemone sexvalvis,0
Argemone spinosa,0
Argemone versicolor,0
Argemone vulgaris,0
Argemone vulgaris var. citrina,0
Armoracia americana,0
Armoracia aquatica,10
Armoracia lacustris,20
Aronia aquatica,0
Artemisia affinis,0
Artemisia heterophylla,0
Artemisia igniaria,29
Artemisia indica,492
Artemisia lactiflora,424
Artemisia leptostachya,0
Artemisia officinalis,0
Artemisia opulenta,6
Artemisia opulenta forma genuina,0
Artemisia paniculaeformis,0
Artemisia rubriflora,0
Artemisia ruderalis,1
Artemisia samamisica,1
Artemisia violacea,0
Artemisia virens,0
Artemisia vulgaris subsp. typica,0
Artemisia vulgaris var. glabra,1
Artemisia vulgaris var. kamschatica,0
Artemisia vulgaris var. normalis,0
Artemisia vulgaris var. typica,0
Arthraxon antsirabensis,17
Arthraxon breviaristatus,10
Arthraxon caucasicus,0
Arthraxon centrasiaticus,0
Arthraxon ciliaris,8
Arthraxon ciliaris subsp. langsdorffii,4
Arthraxon ciliaris subsp. nudus,0
Arthraxon ciliaris subsp. quartiniana,0
Arthraxon ciliaris subsp. submuticus,0
Arthraxon ciliaris subsp. vriesii,0
Arthraxon ciliaris var. australis,0
Arthraxon ciliaris var. centrasiaticus,0
Arthraxon ciliaris var. coloratus,0
Arthraxon ciliaris var. cryptatherus,0
Arthraxon ciliaris var. genuinus,0
Arthraxon ciliaris var. glabrescens,0
Arthraxon ciliaris var. gracilis,0
Arthraxon ciliaris var. hookeri,0
Arthraxon ciliaris var. quartiniana,0
Arthraxon ciliaris var. tenellus,0
Arthraxon coloratus,0
Arthraxon cryptatherus,0
Arthraxon cryptatherus subsp. centrasiaticus,0
Arthraxon cryptatherus subsp. submuticus,0
Arthraxon cryptatherus var. ciliaris,0
Arthraxon cuspidatus,2
Arthraxon cuspidatus var. genuinus,0
Arthraxon cuspidatus var. micans,0
Arthraxon gracilis,0
Arthraxon hispidus forma breviseta,0
Arthraxon hispidus forma centrasiaticus,3
Arthraxon hispidus forma formosanus,5
Arthraxon hispidus forma hispidissimus,1
Arthraxon hispidus forma japonicus,9
Arthraxon hispidus forma kobuna,0
Arthraxon hispidus forma langsdorffii,0
Arthraxon hispidus forma macranthus,0
Arthraxon hispidus forma monticola,0
Arthraxon hispidus forma quartinianus,0
Arthraxon hispidus forma riukiuensis,0
Arthraxon hispidus forma vriesii,0
Arthraxon hispidus subsp. caucasicus,0
Arthraxon hispidus subsp. centrasiaticus,5
Arthraxon hispidus subsp. ciliaris,0
Arthraxon hispidus subsp. langsdorffii,0
Arthraxon hispidus var. brevisetus,0
Arthraxon hispidus var. centrasiaticus,0
Arthraxon hispidus var. ciliaris,1
Arthraxon hispidus var. cryptatherus,44
Arthraxon hispidus var. hispidissimus,1
Arthraxon hispidus var. hookeri,7
Arthraxon hispidus var. japonicus,0
Arthraxon hispidus var. microphyllus,0
Arthraxon hispidus var. monticola,0
Arthraxon hispidus var. muticus,1
Arthraxon hispidus var. nudus,0
Arthraxon hispidus var. vriesii,0
Arthraxon hookeri,0
Arthraxon inermis,0
Arthraxon japonicus,3
Arthraxon kobuna,0
Arthraxon langsdorffii,2
Arthraxon langsdorffii var. centrasiaticus,0
Arthraxon langsdorffii var. cryptatherus,0
Arthraxon langsdorffii var. submuticus,0
Arthraxon lasiocoleos,0
Arthraxon major,0
Arthraxon mauritianus,1
Arthraxon micans,75
Arthraxon nitidulus,0
Arthraxon nudus,0
Arthraxon okamotoi,0
Arthraxon pallidus,0
Arthraxon pauciflorus,23
Arthraxon pauciflorus var. muticus,3
Arthraxon plumbeus,0
Arthraxon quartinianus,129
Arthraxon quartinianus subsp. vriesii,0
Arthraxon quartinianus var. glabrescens,0
Arthraxon quartinianus var. monostachys,0
Arthraxon quartinianus var. montanus,0
Arthraxon satarensis,0
Arthraxon schimperi,0
Arthraxon submuticus,0
Arthraxon violaceus,0
Artocarpus brasiliensis,0
Artocarpus maximus,0
Artocarpus philippensis,0
Arum odorum,0
Arundo aggerum,1
Arundo altissima,0
Arundo australis,0
Arundo barbata,0
Arundo dioeca,0
Arundo graeca,0
Arundo isiaca,1
Arundo karka,0
Arundo maxima,0
Arundo occidentalis,0
Arundo palustris,0
Arundo phragmites,19
Arundo phragmites var. humilis,0
Arundo phragmites var. isiaca,0
Arundo selloana,0
Arundo vallatoria,0
Arundo vulgaris,0
Aspalathus cuneatus,0
Aspidium hirsutulum,0
Aster acadiensis,0
Aster agrostifolius,0
Aster annuus,0
Aster canadensis,0
Aster coridifolius,3
Aster diffusus,0
Aster diffusus forma hirsuticaulis,0
Aster diffusus var. hirsuticaulis,0
Aster diffusus var. horizontalis,0
Aster diffusus var. variifolius,0
Aster divergens,0
Aster divergens var. diffusus,0
Aster divergens var. pendulus,0
Aster dumosus,13
Aster dumosus forma monocephalus,0
Aster dumosus var. albus,0
Aster dumosus var. coridifolius,0
Aster dumosus var. dodgei,0
Aster dumosus var. gracilentus,0
Aster dumosus var. gracilipes,0
Aster dumosus var. pergracilis,1
Aster dumosus var. strictior,0
Aster dumosus var. subracemosus,0
Aster dumosus var. subulifolius,1
Aster dumosus var. verus,0
Aster dumosus var. violaceus,0
Aster foliolosus var. coridifolius,0
Aster gracilipes,0
Aster hirsuticaulis,0
Aster horizontalis,0
Aster lateriflorus,220
Aster lateriflorus var. angustifolius,2
Aster lateriflorus var. flagellaris,0
Aster lateriflorus var. hirsuticaulis,1
Aster lateriflorus var. horizontalis,0
Aster lateriflorus var. indutus,0
Aster lateriflorus var. pendulus,0
Aster lateriflorus var. spatelliformis,0
Aster lateriflorus var. tenuipes,6
Aster mexicanus,1
Aster miser var. diffusus,0
Aster miser var. divergens,0
Aster miser var. hirsuticaulis,0
Aster miser var. pendulus,0
Aster miser var. vimineus,0
Aster mutabilis,0
Aster pendulus,0
Aster saxatilis,0
Aster sempervirens,0
Aster sparsiflorus,0
Aster spatelliformis,1
Aster stenactis,0
Aster tenuipes,0
Aster tradescantii,264
Aster tradescantii var. saxatilis,0
Aster vimineus,0
Aster vimineus var. saxatilis,3
Atriplex alba,0
Atriplex viridis,0
Atropa origanifolia,0
Atropa physalodes,0
Atropa rhomboidea,0
Avena muralis,0
Axonopus corymbosus,0
Ballimon maritimum,0
Balsamaria inophyllum,0
Batatas acetosifolia,4
Batatas incurva,0
Batatas littoralis,8
Batatas pulchella,0
Batatas sinuata,0
Batratherum micans,0
Batratherum submuticum,0
Baziasa urticifolia,0
Bazina nudiflora,0
Beauverdia uniflora,1
Bermudiana angustifolia,0
Bermudiana apiculata,0
Bermudiana bermudiana forma atlantica,0
Bermudiana bermudiana forma graminoides,0
Bermudiana bermudiana var. angustifolia,0
Bermudiana graminea,0
Bermudiana graminifolia,0
Biscutella apetala,0
Blechum cordatum,1
Blitum pumilio,0
Boberella nicandra,0
Bonnaya brachiata,1
Borreria bartlingiana,0
Borreria eradii,0
Borreria fockeana,0
Borreria latifolia,751
Borreria latifolia forma fockeana,4
Borreria latifolia forma scabrida,0
Borreria latifolia forma. minor,0
Borreria latifolia var. fockeana,1
Borreria latifolia var. minor,2
Borreria latifolia var. scabrida,0
Borreria latifolia var. sideritis,0
Borreria penicillata,0
Borreria perrottetii,0
Borreria platyphylla,1
Borreria scabrida,1
Borreria sideritis,0
Borreria splitgerberi,0
Borreria tetraptera,0
Botryanthus amoenus,0
Botryanthus atlanticus,0
Botryanthus mordoanus,0
Botryanthus neglectus,0
Botryanthus odorus,1
Botryanthus pulchellus,0
Botryanthus racemosus,0
Botryanthus sartorii,0
Botryanthus strangwaysii,0
Botryanthus vulgaris var. strangwaysii,0
Botrys alba,0
Brachiaria brizantha,2096
Brachiaria texana,216
Brassica arvensis,0
Brassica arvensis var. normalis,0
Brassica arvensis var. orientalis,0
Brassica arvensis var. schkuhriana,1
Brassica kaber,358
Brassica kaber var. orientalis,0
Brassica kaber var. pinnatifida,36
Brassica kaber var. schkuhriana,16
Brassica kaber var. stricta,0
Brassica nigra forma villosa,0
Brassica orientalis,4
Brassica sinapis,0
Brassica sinapis var. orientalis,0
Brassica sinapistrum,4
Brassica sinapistrum forma brachycarpa,0
Brassica sinapistrum forma dasycarpa,0
Brassica sinapistrum forma leiocarpa,0
Brassica sinapistrum var. orientalis,0
Brassica sinapistrum var. villosa,0
Brathys euphorbioides,0
Brathys quinquenervia,0
Brodiaea uniflora,8
Bromus abolinii,0
Bromus angustatus,0
Bromus arvensis var. japonicus,1
Bromus arvensis var. patulus,0
Bromus breviaristatus,0
Bromus brongniartii,0
Bromus cyri,0
Bromus gedrosianus,0
Bromus haenkeanus,1
Bromus japonicus subsp. phrygius,0
Bromus japonicus subsp. sooi,0
Bromus japonicus var. pendulus,0
Bromus japonicus var. phrygius,0
Bromus japonicus var. porrectus,3
Bromus japonicus var. sooi,0
Bromus japonicus var. vestitus,1
Bromus kochii,0
Bromus mathewsii,0
Bromus patulus,12
Bromus patulus subsp. subsquarrosus,0
Bromus patulus var. genuinus,0
Bromus patulus var. vestitus,0
Bromus pendulus,2
Bromus phrygius,0
Bromus preslii,0
Bromus schraderi,2
