Species,ID,url
Frangula alnus,urn:lsid:ipni.org:names:717344-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:717344-1
Spergularia rubra,urn:lsid:ipni.org:names:158983-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:158983-1
Eucalyptus globulus,urn:lsid:ipni.org:names:592965-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:592965-1
Juncus articulatus,urn:lsid:ipni.org:names:442698-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442698-1
Salix cinerea,urn:lsid:ipni.org:names:301107-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301107-2
Alopecurus pratensis,urn:lsid:ipni.org:names:387176-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387176-1
Campylopus introflexus,NA,NA
Lupinus polyphyllus,urn:lsid:ipni.org:names:504939-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:504939-1
Silene vulgaris,urn:lsid:ipni.org:names:158668-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:158668-1
Rhamnus cathartica,urn:lsid:ipni.org:names:718256-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718256-1
Achillea ptarmica,urn:lsid:ipni.org:names:2336-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2336-2
Myosotis arvensis,urn:lsid:ipni.org:names:118914-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:118914-1
Rumex acetosa,urn:lsid:ipni.org:names:332105-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332105-2
Glyceria maxima,urn:lsid:ipni.org:names:404141-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:404141-1
Carduus crispus,urn:lsid:ipni.org:names:188569-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188569-1
Fragaria vesca,urn:lsid:ipni.org:names:30074127-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30074127-2
Rumex conglomeratus,urn:lsid:ipni.org:names:697003-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:697003-1
Bromus sterilis,urn:lsid:ipni.org:names:332081-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332081-2
Elodea nuttallii,urn:lsid:ipni.org:names:90089-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90089-2
Poa nemoralis,urn:lsid:ipni.org:names:320039-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320039-2
Filipendula vulgaris,urn:lsid:ipni.org:names:724945-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1
Sambucus nigra ssp. nigra,urn:lsid:ipni.org:names:30122169-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30122169-2
Bistorta officinalis,urn:lsid:ipni.org:names:60430545-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60430545-2
Sanguisorba officinalis,urn:lsid:ipni.org:names:741402-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:741402-1
Matricaria discoidea,urn:lsid:ipni.org:names:154716-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:154716-2
Pulicaria dysenterica,urn:lsid:ipni.org:names:60445945-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60445945-2
Senecio sylvaticus,urn:lsid:ipni.org:names:247845-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:247845-1
Juncus inflexus,urn:lsid:ipni.org:names:443065-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:443065-1
Avena barbata,urn:lsid:ipni.org:names:391337-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391337-1
Veronica chamaedrys,urn:lsid:ipni.org:names:811804-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:811804-1
Salix fragilis,urn:lsid:ipni.org:names:777611-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777611-1
Malva moschata,urn:lsid:ipni.org:names:561790-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:561790-1
Geum urbanum,urn:lsid:ipni.org:names:725399-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:725399-1
Luzula campestris,urn:lsid:ipni.org:names:443746-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:443746-1
Potamogeton natans,urn:lsid:ipni.org:names:208872-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:208872-2
Thymus pulegioides,urn:lsid:ipni.org:names:461562-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:461562-1
Torilis japonica,urn:lsid:ipni.org:names:849533-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:849533-1
Trifolium medium,urn:lsid:ipni.org:names:523361-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523361-1
Glyceria fluitans,urn:lsid:ipni.org:names:404100-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:404100-1
Holcus mollis,urn:lsid:ipni.org:names:123530-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:123530-2
Vicia sepium,urn:lsid:ipni.org:names:525130-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525130-1
Danthonia decumbens,urn:lsid:ipni.org:names:397531-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397531-1
Gnaphalium uliginosum,urn:lsid:ipni.org:names:210174-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:210174-1
Carex nigra,urn:lsid:ipni.org:names:30066383-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30066383-2
Potentilla verna,urn:lsid:ipni.org:names:324741-2,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324741-2
Scrophularia auriculata,urn:lsid:ipni.org:names:809039-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:809039-1
Primula elatior,urn:lsid:ipni.org:names:701870-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701870-1
Pimpinella saxifraga,urn:lsid:ipni.org:names:847025-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847025-1
Filipendula ulmaria,urn:lsid:ipni.org:names:724943-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1
Carlina vulgaris,urn:lsid:ipni.org:names:189321-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189321-1
Aegagropila linnaei,NA,NA
Pinus halepensis,urn:lsid:ipni.org:names:262982-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262982-1
Ehrharta stipoides,urn:lsid:ipni.org:names:408485-1,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408485-1
