species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Potentilla micrantha,NA,NA,NA,NA,NA,NA,NA
Potentilla supina subsp. paradoxa,NA,NA,NA,NA,NA,NA,NA
Potentilla supina var. ternata,NA,NA,NA,NA,NA,NA,NA
Primula florindae,NA,NA,NA,NA,NA,NA,NA
Prunus campanulata,NA,NA,NA,NA,NA,NA,NA
Pseudomuscari azureum,NA,NA,NA,NA,NA,NA,NA
Pterocaulon virgatum,38319,38319,L.,Gnaphalium virgatum,514149,NA,NA
Ptilostemon afer,NA,NA,NA,NA,NA,NA,NA
Ptilostemon casabonae,NA,NA,NA,NA,NA,NA,NA
Ptychotis saxifraga,NA,NA,NA,NA,NA,NA,NA
Puccinellia dolicholepis,NA,NA,NA,NA,NA,NA,NA
Puccinellia gigantea,NA,NA,NA,NA,NA,NA,NA
Puccinellia poecilantha,NA,NA,NA,NA,NA,NA,NA
Pueraria montana var. thomsonii,NA,NA,NA,NA,NA,NA,NA
Ranunculus lateriflorus,NA,NA,NA,NA,NA,NA,NA
Ranunculus macrophyllus,NA,NA,NA,NA,NA,NA,NA
Ranunculus pedatus,NA,NA,NA,NA,NA,NA,NA
Ranunculus polyanthemos,NA,NA,NA,NA,NA,NA,NA
Ranunculus psilostachys,NA,NA,NA,NA,NA,NA,NA
Rauvolfia caffra,NA,NA,NA,NA,NA,NA,NA
Reineckea carnea,NA,NA,NA,NA,NA,NA,NA
Reseda inodora,NA,NA,NA,NA,NA,NA,NA
Reynoutria multiflora,NA,NA,NA,NA,NA,NA,NA
Rhamphicarpa fistulosa,NA,NA,NA,NA,NA,NA,NA
Rhinanthus apterus,NA,NA,NA,NA,NA,NA,NA
Rhodanthe manglesii,NA,NA,NA,NA,NA,NA,NA
Rhodanthe stricta,NA,NA,NA,NA,NA,NA,NA
Rhododendron mucronatum,NA,NA,NA,NA,NA,NA,NA
Rhododendron ponticum,NA,NA,NA,NA,NA,NA,NA
Rhus longipes,NA,NA,NA,NA,NA,NA,NA
Ridolfia segetum,NA,NA,NA,NA,NA,NA,NA
Rochelia disperma,NA,NA,NA,NA,NA,NA,NA
Rodgersia pinnata,NA,NA,NA,NA,NA,NA,NA
Roemeria hybrida,NA,NA,NA,NA,NA,NA,NA
Romulea columnae,NA,NA,NA,NA,NA,NA,NA
Rotala filiformis,NA,NA,NA,NA,NA,NA,NA
Roystonea oleracea,NA,NA,NA,NA,NA,NA,NA
Rubia tinctorum,35145,35145,L.,Rubia tinctoria,504837,NA,NA
Rubus alceifolius,NA,NA,NA,NA,NA,NA,NA
Rubus elegantispinosus,NA,NA,NA,NA,NA,NA,NA
Rubus fabrimontanus,NA,NA,NA,NA,NA,NA,NA
Rubus fissipetalus,NA,NA,NA,NA,NA,NA,NA
Rubus loehrii,NA,NA,NA,NA,NA,NA,NA
Rubus nemorosus,NA,NA,NA,NA,NA,NA,NA
Rubus senticosus,NA,NA,NA,NA,NA,NA,NA
Rubus siekensis,NA,NA,NA,NA,NA,NA,NA
Rubus tricolor,NA,NA,NA,NA,NA,NA,NA
Ruellia macrophylla,NA,NA,NA,NA,NA,NA,NA
Rumex cristatus subsp. kerneri,NA,NA,NA,NA,NA,NA,NA
Rumex lunaria,NA,NA,NA,NA,NA,NA,NA
Ruta buxbaumii,NA,NA,NA,NA,NA,NA,NA
Ruta villosa,NA,NA,NA,NA,NA,NA,NA
Rytidostylis carthagenensis,NA,NA,NA,NA,NA,NA,NA
Sagina micropetala,NA,NA,NA,NA,NA,NA,NA
Sagina sabuletorum,NA,NA,NA,NA,NA,NA,NA
Salvia amplexicaulis,NA,NA,NA,NA,NA,NA,NA
Salvia austriaca,NA,NA,NA,NA,NA,NA,NA
Salvia tomentosa,NA,NA,NA,NA,NA,NA,NA
Salvinia oblongifolia,NA,NA,NA,NA,NA,NA,NA
Sanchezia parvibracteata,NA,NA,NA,NA,NA,NA,NA
Sanguisorba dodecandra,NA,NA,NA,NA,NA,NA,NA
Sanguisorba x tenuifolia,NA,NA,NA,NA,NA,NA,NA
Saururus chinensis,NA,NA,NA,NA,NA,NA,NA
Saxifraga granulata,NA,NA,NA,NA,NA,NA,NA
