species,sub_tsn,acc_tsn,syn_author,syn_name,syn_tsn,acc_name,acc_author
Scandix australis,NA,NA,NA,NA,NA,NA,NA
Scandix stellata,NA,NA,NA,NA,NA,NA,NA
Schoenefeldia gracilis,NA,NA,NA,NA,NA,NA,NA
Schoenoplectiella supina,NA,NA,NA,NA,NA,NA,NA
Schoenoplectus litoralis subsp. thermalis,NA,NA,NA,NA,NA,NA,NA
Schoenus pauciflorus,NA,NA,NA,NA,NA,NA,NA
Scilla bithynica,NA,NA,NA,NA,NA,NA,NA
Scilla lilio-hyacinthus,NA,NA,NA,NA,NA,NA,NA
Scilla peruviana,NA,NA,NA,NA,NA,NA,NA
Sclerolaena tricuspis,NA,NA,NA,NA,NA,NA,NA
Scrophularia scopolii,NA,NA,NA,NA,NA,NA,NA
Scrophularia scorodonia,NA,NA,NA,NA,NA,NA,NA
Secale sylvestre,NA,NA,NA,NA,NA,NA,NA
Sedum anglicum,NA,NA,NA,NA,NA,NA,NA
Sedum gracile,NA,NA,NA,NA,NA,NA,NA
Sedum lydium,NA,NA,NA,NA,NA,NA,NA
Sedum montanum,NA,NA,NA,NA,NA,NA,NA
Sedum multiceps,NA,NA,NA,NA,NA,NA,NA
Sedum telephium,24181,565233,(L.) Schult.,Sedum purpureum,24158,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,L.,Sedum telephium,24181,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,L.,Sedum telephium ssp. telephium,24182,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,(W.D.J. Koch) Schinz & R. Keller,Sedum telephium ssp. fabaria,24183,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,W.D.J. Koch,Sedum fabaria,521254,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,(Haw.) Gray,Sedum triphyllum,521262,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,(L.) Schinz & R. Keller,Sedum telephium ssp. purpureum,526674,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,(W.D.J. Koch) H. Ohba,Hylotelephium telephium ssp. fabaria,566037,Hylotelephium telephium,(L.) H. Ohba
Sedum telephium,24181,565233,(L.) H. Ohba,Hylotelephium telephium ssp. telephium,566038,Hylotelephium telephium,(L.) H. Ohba
Semele androgyna,NA,NA,NA,NA,NA,NA,NA
Sempervivum arachnoideum,NA,NA,NA,NA,NA,NA,NA
Senecio deltoideus,NA,NA,NA,NA,NA,NA,NA
Senecio dubitabilis,NA,NA,NA,NA,NA,NA,NA
Senecio gallicus,NA,NA,NA,NA,NA,NA,NA
Senecio glastifolius,NA,NA,NA,NA,NA,NA,NA
Senecio grandiflorus,NA,NA,NA,NA,NA,NA,NA
Senecio inaequidens,NA,NA,NA,NA,NA,NA,NA
Senecio platensis,NA,NA,NA,NA,NA,NA,NA
Senecio pterophorus,NA,NA,NA,NA,NA,NA,NA
Senecio sarracenicus,NA,NA,NA,NA,NA,NA,NA
Senecio serpens,NA,NA,NA,NA,NA,NA,NA
Senecio squalidus subsp. rupestris,NA,NA,NA,NA,NA,NA,NA
Senecio tamoides,NA,NA,NA,NA,NA,NA,NA
