Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid
Acmella uliginosa	Acmella uliginosa		1	Accepted	Acmella uliginosa	(Sw.) Cass.	Asteraceae	gcc;tropicos	 	urn:lsid:compositae.org:names:0BD6DCE2-80C6-40EE-9ECB-1183B5EEE465
Acmella uliginosa	Acmella uliginosa		1	Accepted	Acmella uliginosa	(Sw.) Cass. [excluded]	Asteraceae	usda	 	
Acrocarpus fraxinifolius	Acrocarpus fraxinifolius		1	Accepted	Acrocarpus fraxinifolius	Arn.	Fabaceae	ildis;tropicos	 	
Adiantum raddianum	Adiantum raddianum		1	Accepted	Adiantum raddianum	C. Presl	Pteridaceae	tpl;tropicos;usda	 	
Aegilops cylindrica	Aegilops cylindrica		1	Accepted	Aegilops cylindrica	Host	Poaceae	tpl;tropicos;usda	 	
Aegilops cylindrica	Aegilops cylindrica		1	Synonym	Aegilops caudata	L.	Poaceae	tpl	 	
Aegilops cylindrica	Aegilops cylindrica		1	Illegitimate				tropicos	 [Ambiguous match] 	
Aegilops cylindrica	Aegilops cylindrica		1	Illegitimate				tropicos	 [Ambiguous match] 	
Aeschynomene fluitans	Aeschynomene fluitans		1	Accepted	Aeschynomene fluitans	Peter	Fabaceae	ildis	 	
Aeschynomene fluitans	Aeschynomene fluitans		1	No opinion		Peter	Fabaceae	tropicos	 	
Aeschynomene indica	Aeschynomene indica		1	No opinion				tpl	 	
Aeschynomene indica	Aeschynomene indica		1	Accepted	Aeschynomene indica	L.	Fabaceae	ildis;tropicos;usda	 	
Aeschynomene indica	Aeschynomene indica		1	Misapplied	Aeschynomene rudis	Benth.	Fabaceae	ildis	 	
Aeschynomene indica	Aeschynomene indica		1	Illegitimate				tropicos	 [Ambiguous match] 	
Aeschynomene indica	Aeschynomene indica		1	Illegitimate				tropicos	 [Ambiguous match] 	
Ageratina riparia	Ageratina riparia		1	Accepted	Ageratina riparia	(Regel) R.M.King & H.Rob.	Asteraceae	gcc	 	urn:lsid:compositae.org:names:17437505-8E43-43DE-9DD1-7C20BA74B9D6
Ageratina riparia	Ageratina riparia		1	Accepted	Ageratina riparia	(Regel) R.M. King & H. Rob.	Asteraceae	tropicos;usda	 	
Agropyron cristatum	Agropyron cristatum		1	Accepted	Agropyron cristatum	(L.) Gaertn.	Poaceae	tpl;tropicos;usda	 	
Agropyron cristatum	Agropyron cristatum		1	Invalid				tropicos	 	
Agrostis avenacea	Agrostis avenacea		1	Accepted	Agrostis avenacea	J.F.Gmel.	Poaceae	tpl	 	
Agrostis avenacea	Agrostis avenacea		1	Accepted	Agrostis avenacea	J.F. Gmel.	Poaceae	tropicos;usda	 	
Agrostis capillaris	Agrostis capillaris		1	Accepted	Agrostis capillaris	L.	Poaceae	tpl;tropicos;usda	 	
Agrostis capillaris	Agrostis capillaris		1	Invalid				tropicos	 [Ambiguous match] 	
Agrostis capillaris	Agrostis capillaris		1	Illegitimate				tropicos	 	
Agrostis capillaris	Agrostis capillaris		1	Invalid				tropicos	 [Ambiguous match] 	
Agrostis capillaris	Agrostis capillaris		1	Invalid				tropicos	 [Ambiguous match] 	
Agrostis capillaris	Agrostis capillaris		1	No opinion				tropicos	 	
Albizia chinensis	Albizia chinensis		1	Accepted	Albizia chinensis	(Osbeck)Merr.	Fabaceae	ildis	 	
Albizia chinensis	Albizia chinensis		1	Accepted	Albizia chinensis	(Osbeck) Merr.	Fabaceae	tropicos;usda	 	
Albizia procera	Albizia procera		1	Accepted	Albizia procera	(Roxb.)Benth.	Fabaceae	ildis	 	
Albizia procera	Albizia procera		1	Accepted	Albizia procera	(Roxb.) Benth.	Fabaceae	tropicos;usda	 	
Alectra vogelii	Alectra vogelii		1	Accepted	Alectra vogelii	Benth.	Orobanchaceae	tpl;tropicos	 	
Alhagi maurorum	Alhagi maurorum		1	Accepted	Alhagi maurorum		Fabaceae	tpl	 	
Alhagi maurorum	Alhagi maurorum		1	Accepted	Alhagi maurorum	Medik.	Fabaceae	ildis;tropicos;usda	 	
Alhagi maurorum	Alhagi maurorum		1	Synonym	Alhagi nepalensis	(D.Don)Shap.	Fabaceae	ildis	 	
Alhagi maurorum	Alhagi maurorum		1	Misapplied	Alhagi graecorum	Boiss.	Fabaceae	ildis	 	
Alnus glutinosa	Alnus glutinosa		1	Accepted	Alnus glutinosa	(L.) Gaertn.	Betulaceae	tpl;tropicos;usda	 	
Alopecurus myosuroides	Alopecurus myosuroides		1	Accepted	Alopecurus myosuroides	Huds.	Poaceae	tpl;tropicos;usda	 	
Alyssum desertorum	Alyssum desertorum		1	Accepted	Alyssum desertorum	Stapf	Brassicaceae	tpl;tropicos;usda	 	
Alyssum minus	Alyssum minus		1	Synonym	Alyssum simplex	Rudolph	Brassicaceae	tpl	 	
Alyssum minus	Alyssum minus		1	Synonym	Alyssum simplex	Rudolphi	Brassicaceae	tropicos	 	
Alyssum minus	Alyssum minus		1	Synonym	Alyssum simplex	Rudolphi	Brassicaceae	usda	 	
