Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Vicia sepium,Vicia,,sepium,NA,NA,,,ild-7863,TRUE,1.1,Accepted,Leguminosae,Vicia,,sepium,,,L.,ild-7863,Accepted,FALSE,FALSE,FALSE,8/3/21
Danthonia decumbens,Danthonia,,decumbens,NA,NA,,,kew-407014,TRUE,1.1,Accepted,Poaceae,Danthonia,,decumbens,,,(L.) DC.,kew-407014,Accepted,FALSE,FALSE,FALSE,8/3/21
Gnaphalium uliginosum,Gnaphalium,,uliginosum,NA,NA,,,gcc-32241,TRUE,1.1,Accepted,Compositae,Gnaphalium,,uliginosum,,,L.,gcc-32241,Accepted,FALSE,FALSE,FALSE,8/3/21
Carex nigra,Carex,,nigra,NA,NA,,,kew-229004,TRUE,1.1,Accepted,Cyperaceae,Carex,,nigra,,,(L.) Reichard,kew-229004,Accepted,FALSE,FALSE,FALSE,8/3/21
Potentilla verna,Potentilla,,verna,NA,NA,,,rjp-490,TRUE,1.1,Synonym,Rosaceae,Potentilla,,grandiflora,,,L.,rjp-105,Accepted,FALSE,FALSE,FALSE,8/3/21
Scrophularia auriculata,Scrophularia,,auriculata,NA,NA,,,kew-2586267,TRUE,1.1,Accepted,Scrophulariaceae,Scrophularia,,auriculata,,,L.,kew-2586267,Accepted,FALSE,FALSE,FALSE,8/3/21
Primula elatior,Primula,,elatior,NA,NA,,,kew-2564876,TRUE,1.1,Accepted,Primulaceae,Primula,,elatior,,,(L.) Hill,kew-2564876,Accepted,FALSE,FALSE,FALSE,8/3/21
Pimpinella saxifraga,Pimpinella,,saxifraga,NA,NA,,,kew-2402811,TRUE,1.1,Accepted,Apiaceae,Pimpinella,,saxifraga,,,L.,kew-2402811,Accepted,FALSE,FALSE,FALSE,8/3/21
Filipendula ulmaria,Filipendula,,ulmaria,NA,NA,,,rjp-1024,TRUE,1.1,Accepted,Rosaceae,Filipendula,,ulmaria,,,(L.) Maxim.,rjp-1024,Accepted,FALSE,FALSE,FALSE,8/3/21
Carlina vulgaris,Carlina,,vulgaris,NA,NA,,,gcc-91676,TRUE,1.1,Accepted,Compositae,Carlina,,vulgaris,,,L.,gcc-91676,Accepted,FALSE,FALSE,FALSE,8/3/21
Aegagropila linnaei,,,linnaei,NA,NA,,,,FALSE,1.1,,,Aegagropila,,linnaei,NA,,,,,TRUE,FALSE,FALSE,8/3/21
Pinus halepensis,Pinus,,halepensis,NA,NA,,,kew-2561998,TRUE,1.1,Accepted,Pinaceae,Pinus,,halepensis,,,Mill.,kew-2561998,Accepted,FALSE,FALSE,FALSE,8/3/21
Ehrharta stipoides,Ehrharta,,stipoides,NA,NA,,,kew-410556,TRUE,1.1,Accepted,Poaceae,Ehrharta,,stipoides,,,Labill.,kew-410556,Accepted,FALSE,FALSE,FALSE,8/3/21
