Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Misopates orontium,Misopates,,orontium,NA,NA,,,kew-2506761,TRUE,1.1,Accepted,Plantaginaceae,Misopates,,orontium,,,(L.) Raf.,kew-2506761,Accepted,FALSE,FALSE,FALSE,2021-08-03
Montia fontana,Montia,,fontana,NA,NA,,,kew-2508965,TRUE,1.1,Accepted,Montiaceae,Montia,,fontana,,,L.,kew-2508965,Accepted,FALSE,FALSE,FALSE,2021-08-03
Montia sibirica,Montia,,sibirica,NA,NA,,,kew-2508950,TRUE,1.1,Synonym,Montiaceae,Claytonia,,sibirica,,,L.,kew-2725259,Accepted,FALSE,FALSE,FALSE,2021-08-03
Myosotis ramosissima,Myosotis,,ramosissima,NA,NA,,,kew-2358285,TRUE,1.1,Accepted,Boraginaceae,Myosotis,,ramosissima,,,Rochel,kew-2358285,Accepted,FALSE,FALSE,FALSE,2021-08-03
Nassella filiculmis,Nassella,,filiculmis,NA,NA,,,kew-425500,TRUE,1.1,Accepted,Poaceae,Nassella,,filiculmis,,,(Delile) Barkworth,kew-425500,Accepted,FALSE,FALSE,FALSE,2021-08-03
Nassella formicarum,Nassella,,formicarum,NA,NA,,,kew-425505,TRUE,1.1,Accepted,Poaceae,Nassella,,formicarum,,,(Delile) Barkworth,kew-425505,Accepted,FALSE,FALSE,FALSE,2021-08-03
Neosiphonia paniculata,,,paniculata,NA,NA,,,,FALSE,1.1,,,Neosiphonia,,paniculata,NA,,,,,TRUE,FALSE,FALSE,2021-08-03
Nepeta faassenii,Nepeta,,faassenii,NA,NA,,,tro-50308384,TRUE,1.1,Accepted,Lamiaceae,Nepeta,×,faasenii,,,Bergmans ex Stearn,tro-50308384,Accepted,TRUE,FALSE,FALSE,2021-08-03
Nepeta sibirica,Nepeta,,sibirica,NA,NA,,,kew-134974,TRUE,1.1,Accepted,Lamiaceae,Nepeta,,sibirica,,,L.,kew-134974,Accepted,FALSE,FALSE,FALSE,2021-08-03
Neslia paniculata subsp. thracica,Neslia,,paniculata,NA,subsp.,thracica,,kew-2871247,TRUE,1.1,Accepted,Brassicaceae,Neslia,,paniculata,subsp.,thracica,(Velen.) Bornm.,kew-2871247,Accepted,FALSE,FALSE,FALSE,2021-08-03
Nonea pulla,Nonea,,pulla,NA,NA,,,kew-2379973,TRUE,1.1,Accepted,Boraginaceae,Nonea,,pulla,,,(L.) DC.,kew-2379973,Accepted,FALSE,FALSE,FALSE,2021-08-03
Oenothera flava,Oenothera,,flava,NA,NA,,,tro-23200562,TRUE,1.1,Accepted,Onagraceae,Oenothera,,flava,,,(A. Nelson) Garrett,tro-23200562,Accepted,FALSE,FALSE,FALSE,2021-08-03
Oenothera issleri,Oenothera,,issleri,NA,NA,,,kew-2398983,TRUE,1.1,Synonym,Onagraceae,Oenothera,,parviflora,,,L.,kew-2399366,Accepted,FALSE,FALSE,FALSE,2021-08-03
Oenothera parviflora,Oenothera,,parviflora,NA,NA,,,kew-2399366,TRUE,1.1,Accepted,Onagraceae,Oenothera,,parviflora,,,L.,kew-2399366,Accepted,FALSE,FALSE,FALSE,2021-08-03
Oenothera victorinii,Oenothera,,victorinii,NA,NA,,,kew-2400618,TRUE,1.1,Unresolved,Onagraceae,Oenothera,,victorinii,,,R.R.Gates & Catches.,kew-2400618,Unresolved,FALSE,FALSE,FALSE,2021-08-03
Onopordum bracteatum,Onopordum,,bracteatum,NA,NA,,,gcc-93939,TRUE,1.1,Accepted,Compositae,Onopordum,,bracteatum,,,Boiss. & Heldr.,gcc-93939,Accepted,FALSE,FALSE,FALSE,2021-08-03
Onopordum macracanthum,Onopordum,,macracanthum,NA,NA,,,gcc-141060,TRUE,1.1,Accepted,Compositae,Onopordum,,macracanthum,,,Schousb.,gcc-141060,Accepted,FALSE,FALSE,FALSE,2021-08-03
Onopordum nervosum,Onopordum,,nervosum,NA,NA,,,gcc-17166,TRUE,1.1,Accepted,Compositae,Onopordum,,nervosum,,,Boiss.,gcc-17166,Accepted,FALSE,FALSE,FALSE,2021-08-03
Opuntia macrorhiza,Opuntia,,macrorhiza,NA,NA,,,tro-5101037,TRUE,1.1,Accepted,Cactaceae,Opuntia,,macrorhiza,,,Engelm.,tro-5101037,Accepted,FALSE,FALSE,FALSE,2021-08-03
Orlaya daucorlaya,Orlaya,,daucorlaya,NA,NA,,,kew-2390189,TRUE,1.1,Accepted,Apiaceae,Orlaya,,daucorlaya,,,Murb.,kew-2390189,Accepted,FALSE,FALSE,FALSE,2021-08-03
Ornithogalum narbonense,Ornithogalum,,narbonense,NA,NA,,,kew-283555,TRUE,1.1,Accepted,Asparagaceae,Ornithogalum,,narbonense,,,L.,kew-283555,Accepted,FALSE,FALSE,FALSE,2021-08-03
Ornithogalum pyrenaicum,Ornithogalum,,pyrenaicum,NA,NA,,,kew-283468,TRUE,1.1,Accepted,Asparagaceae,Ornithogalum,,pyrenaicum,,,L.,kew-283468,Accepted,FALSE,FALSE,FALSE,2021-08-03
Orobanche amethystea,Orobanche,,amethystea,NA,NA,,,kew-2396716,TRUE,1.1,Accepted,Orobanchaceae,Orobanche,,amethystea,,,Thuill.,kew-2396716,Accepted,FALSE,FALSE,FALSE,2021-08-03
Orobanche gracilis,Orobanche,,gracilis,NA,NA,,,kew-2395655,TRUE,1.1,Accepted,Orobanchaceae,Orobanche,,gracilis,,,Sm.,kew-2395655,Accepted,FALSE,FALSE,FALSE,2021-08-03
Orobanche hederae,Orobanche,,hederae,NA,NA,,,kew-2395692,TRUE,1.1,Accepted,Orobanchaceae,Orobanche,,hederae,,,Duby,kew-2395692,Accepted,FALSE,FALSE,FALSE,2021-08-03
Orobanche lucorum,Orobanche,,lucorum,NA,NA,,,kew-2395766,TRUE,1.1,Accepted,Orobanchaceae,Orobanche,,lucorum,,,A.Braun,kew-2395766,Accepted,FALSE,FALSE,FALSE,2021-08-03
Orontium aquaticum,Orontium,,aquaticum,NA,NA,,,kew-144193,TRUE,1.1,Accepted,Araceae,Orontium,,aquaticum,,,L.,kew-144193,Accepted,FALSE,FALSE,FALSE,2021-08-03
Otanthus maritimus,Otanthus,,maritimus,NA,NA,,,gcc-49688,TRUE,1.1,Accepted,Compositae,Otanthus,,maritimus,,,(L.) Hoffmanns. & Link,gcc-49688,Accepted,FALSE,FALSE,FALSE,2021-08-03
Paeonia mascula,Paeonia,,mascula,NA,NA,,,kew-2560873,TRUE,1.1,Accepted,Paeoniaceae,Paeonia,,mascula,,,(L.) Mill.,kew-2560873,Accepted,FALSE,FALSE,FALSE,2021-08-03
Panicum decompositum,Panicum,,decompositum,NA,NA,,,kew-427989,TRUE,1.1,Accepted,Poaceae,Panicum,,decompositum,,,R.Br.,kew-427989,Accepted,FALSE,FALSE,FALSE,2021-08-03
Panicum obtusum,Panicum,,obtusum,NA,NA,,,kew-429534,TRUE,1.1,Accepted,Poaceae,Panicum,,obtusum,,,Kunth,kew-429534,Accepted,FALSE,FALSE,FALSE,2021-08-03
Panicum philadelphicum,Panicum,,philadelphicum,NA,NA,,,kew-429766,TRUE,1.1,Accepted,Poaceae,Panicum,,philadelphicum,,,Bernh. ex Trin.,kew-429766,Accepted,FALSE,FALSE,FALSE,2021-08-03
Papaver pinnatifidum,Papaver,,pinnatifidum,NA,NA,,,kew-2561405,TRUE,1.1,Accepted,Papaveraceae,Papaver,,pinnatifidum,,,Moris,kew-2561405,Accepted,FALSE,FALSE,FALSE,2021-08-03
Papaver pseudoorientale,Papaver,,pseudoorientale,NA,NA,,,kew-2561384,TRUE,1.1,Accepted,Papaveraceae,Papaver,,pseudo-orientale,,,Medw.,kew-2561384,Accepted,TRUE,FALSE,FALSE,2021-08-03
Parapholis strigosa,Parapholis,,strigosa,NA,NA,,,kew-431058,TRUE,1.1,Accepted,Poaceae,Parapholis,,strigosa,,,(Dumort.) C.E.Hubb.,kew-431058,Accepted,FALSE,FALSE,FALSE,2021-08-03
Parietaria lusitanica,Parietaria,,lusitanica,NA,NA,,,kew-2546374,TRUE,1.1,Accepted,Urticaceae,Parietaria,,lusitanica,,,L.,kew-2546374,Accepted,FALSE,FALSE,FALSE,2021-08-03
Parthenocissus vitacea,Parthenocissus,,vitacea,NA,NA,,,kew-2548152,TRUE,1.1,Synonym,Vitaceae,Parthenocissus,,inserta,,,(A.Kern.) Fritsch,kew-2554092,Accepted,FALSE,FALSE,FALSE,2021-08-03
Pentaglottis sempervirens,Pentaglottis,,sempervirens,NA,NA,,,kew-2412586,TRUE,1.1,Accepted,Boraginaceae,Pentaglottis,,sempervirens,,,(L.) Tausch ex L.H.Bailey,kew-2412586,Accepted,FALSE,FALSE,FALSE,2021-08-03
Petasites fragrans,Petasites,,fragrans,NA,NA,,,gcc-105609,TRUE,1.1,Accepted,Compositae,Petasites,,fragrans,,,(Vill.) C.Presl,gcc-105609,Accepted,FALSE,FALSE,FALSE,2021-08-03
Peucedanum ostruthium,Peucedanum,,ostruthium,NA,NA,,,kew-2403688,TRUE,1.1,Accepted,Apiaceae,Peucedanum,,ostruthium,,,(L.) W.D.J.Koch,kew-2403688,Accepted,FALSE,FALSE,FALSE,2021-08-03
Peucedanum verticillare,Peucedanum,,verticillare,NA,NA,,,kew-2402770,TRUE,1.1,Accepted,Apiaceae,Peucedanum,,verticillare,,,(L.) W.J.D.Koch ex DC.,kew-2402770,Accepted,FALSE,FALSE,FALSE,2021-08-03
Phacelia ciliata,Phacelia,,ciliata,NA,NA,,,tro-16200388,TRUE,1.1,Accepted,Boraginaceae,Phacelia,,ciliata,,,Benth.,tro-16200388,Accepted,FALSE,FALSE,FALSE,2021-08-03
Phalaris platensis,Phalaris,,platensis,NA,NA,,,kew-433548,TRUE,1.1,Accepted,Poaceae,Phalaris,,platensis,,,Henrard ex Heukels,kew-433548,Accepted,FALSE,FALSE,FALSE,2021-08-03
Philadelphus pubescens,Philadelphus,,pubescens,NA,NA,,,kew-2530059,TRUE,1.1,Accepted,Hydrangeaceae,Philadelphus,,pubescens,,,Loisel.,kew-2530059,Accepted,FALSE,FALSE,FALSE,2021-08-03
Phleum exaratum,Phleum,,exaratum,NA,NA,,,kew-433781,TRUE,1.1,Accepted,Poaceae,Phleum,,exaratum,,,Griseb.,kew-433781,Accepted,FALSE,FALSE,FALSE,2021-08-03
Physalis ixocarpa,Physalis,,ixocarpa,NA,NA,,,tro-29602557,TRUE,1.1,Accepted,Solanaceae,Physalis,,ixocarpa,,,Brot. ex Hornem.,tro-29602557,Accepted,FALSE,FALSE,FALSE,2021-08-03
Physalis longifolia,Physalis,,longifolia,NA,NA,,,tro-29600208,TRUE,1.1,Accepted,Solanaceae,Physalis,,longifolia,,,Nutt.,tro-29600208,Accepted,FALSE,FALSE,FALSE,2021-08-03
Physalis virginiana var. sonorae,Physalis,,virginiana,NA,var.,sonorae,,tro-29604089,TRUE,1.1,Accepted,Solanaceae,Physalis,,virginiana,var.,sonorae,(Torr.) Waterf.,tro-29604089,Accepted,FALSE,FALSE,FALSE,2021-08-03
Picris pauciflora,Picris,,pauciflora,NA,NA,,,gcc-99145,TRUE,1.1,Accepted,Compositae,Picris,,pauciflora,,,Willd.,gcc-99145,Accepted,FALSE,FALSE,FALSE,2021-08-03
Picris sprengerana,Picris,,sprengerana,NA,NA,,,gcc-148061,TRUE,1.1,Synonym,Compositae,Crepis,,sprengeriana,,,(L.) All.,gcc-122025,Accepted,TRUE,FALSE,FALSE,2021-08-03
Pilea hyalina,Pilea,,hyalina,NA,NA,,,kew-2546824,TRUE,1.1,Accepted,Urticaceae,Pilea,,hyalina,,,Fenzl,kew-2546824,Accepted,FALSE,FALSE,FALSE,2021-08-03
