acc_name,synonyms,occurrences,jk_notes
Draba verna,"Erophila verna, Draba verna, Draba praecox, Erophila spathulata, Erophila verna ssp. praecox, Erophila verna ssp. spathulata, Draba verna var. aestivalis, Draba verna var. boerhaavii, Draba verna var. major",213809,
Mycelis muralis,"Mycelis muralis, Lactuca muralis",211623,
Lamium galeobdolon,"Lamium galeobdolon, Lamiastrum galeobdolon",210263,"Accepted name by TPL, but with lowest level of confidence"
Symphytum officinale,"Symphytum officinale, Symphytum officinale var. officinale, Symphytum officinale ssp. uliginosum, Symphytum uliginosum",209629,
Holcus mollis,"Holcus mollis, Aira holcus-mollis, Aira mollis, Avena mollis, Avena sylvatica, Ginannia mollis, Notholcus mollis",209013,
Clematis vitalba,,206046,
Myosotis arvensis,"Myosotis arvensis, Myosotis scorpioides var. arvensis",204864,
Matricaria chamomilla,"Chamomilla recutita, Matricaria chamomilla, Matricaria courrantiana, Matricaria recutita, Chamomilla chamomilla, Matricaria suaveolens, Matricaria chamomilla var. coronata",203564,
Glyceria maxima,"Glyceria maxima, Glyceria spectabilis, Molinia maxima, Catabrosa hydrophila, Exydra aquatica, Festuca aquatica, Glyceria altissima, Glyceria aquatica, Heleochloa aquatica, Hydropoa spectabilis, Panicularia aquatica, Poa aquatica",184632,
Achillea ptarmica,,179967,
Sonchus arvensis,,175885,
Acer platanoides,"Acer platanoides, Acer platanoides var. schwedleri",163732,
Stachys officinalis,"Stachys officinalis, Betonica officinalis",158588,
Impatiens glandulifera,"Impatiens glandulifera, Impatiens roylei",156662,
Danthonia decumbens,"Danthonia decumbens, Sieglingia decumbens, Festuca decumbens, Bromus decumbens, Melica decumbens, Poa decumbens, Triodia decumbens",150168,
Veronica serpyllifolia,"Veronica serpyllifolia, Veronica humifusa, Veronica serpyllifolia ssp. serpyllifolia, Veronica serpyllifolia ssp. humifusa, Veronica tenella, Veronicastrum serpyllifolium, Veronicastrum serpyllifolium ssp. humifusum, Veronica serpyllifolia var. borealis, Veronica serpyllifolia var. humifusa, Veronica serpyllifolia var. nummularioides",145066,
Ulex europaeus,,142526,
Torilis japonica,,139876,
Trifolium medium,"Trifolium medium, Trifolium medium var. sarosiense",134121,
Thymus pulegioides,"Thymus pulegioides, Thymus serpyllum ssp. chamaedrys, Thymus serpyllum var. albus",131971,
Eucalyptus globulus,,131326,
Pulicaria dysenterica,"Pulicaria dysenterica, Inula dysenterica",119647,
Primula elatior,,118741,
Lupinus polyphyllus,,111039,
Potamogeton natans,,107500,
Helminthotheca echioides,"Helminthotheca echioides, Picris echioides",105080,
Malva sylvestris,"Malva sylvestris, Malva mauritiana, Malva sylvestris ssp. mauritiana, Malva sylvestris var. mauritiana",100727,
Sanguisorba officinalis,"Sanguisorba officinalis, Poterium officinale, Sanguisorba microcephala, Sanguisorba officinalis ssp. microcephala, Sanguisorba officinalis var. polygama",100458,
Carlina vulgaris,,98981,
Rhamnus cathartica,,97803,
Rumex conglomeratus,,97352,
Miconia calvescens,,94563,
Plantago coronopus,"Plantago coronopus, Plantago coronopus ssp. commutata",92062,
Jacobaea vulgaris,Senecio jacobaea,85743,
