name,occurrences_new
Abelmoschus moschatus,957
Aberia caffra,2
Abutilon grandifolium,562
Abutilon indicum,589
Abutilon molle,15
Acacia arabica,71
Acacia arenosa,1
Acacia colei,301
Acacia crassicarpa,825
Acacia cyanophylla,142
Acacia cyclops,1945
Acacia dealbata,29481
Acacia decurrens,16968
Acacia decurrens var. dealbata,19
Acacia decurrens var. decurrens,1
Acacia decurrens var. mollis,9
Acacia detinens,4
Acacia glauca,3
Acacia hockii,927
Acacia karroo,1037
Acacia longifolia,10074
Acacia longifolia ssp. sophorae,7779
Acacia mearnsii,19498
Acacia melanoxylon,38584
Acacia mellifera,566
Acacia mellifera ssp. detinens,147
Acacia nilotica,517
Acacia saligna,5916
Acacia sophorae,8
Acacia verticillata,5318
Acacia villosa,152
Acanthopanax sieboldianus,40
Acer platanoides,477008
Acer platanoides var. schwedleri,22
Acer pseudoplatanus,557932
Acer rufinerve,1942
Achillea alpina,448
Achillea biebersteinii,104
Achillea pannonica,850
Achillea ptarmica,172529
Achillea punctata,1
Achillea sibirica,98
Achillea stricta,165
Achnatherum brachychaetum,25
Achnatherum hymenoides,3093
Achnatherum splendens,230
Achyranthes japonica,1244
Acmella uliginosa,567
Acmispon americanus var. americanus,1017
Acnida altissima,14
Acnida altissima var. prostrata,1
Acnida tamariscina,3
Acnida tamariscina var. prostrata,1
Acnida tuberculata,6
Aconitum lycoctonum,17909
Aconitum septentrionale,7845
Aconogonon alpinum,705
Aconogonum alpinum,14
Acosta diffusa,31
Acrocarpus fraxinifolius,89
Acroptilon repens,3535
Actinomeris alternifolia,5
Actinomeris squarrosa,1
Actinomeris squarrosa var. procera,1
Actinoscirpus grossus,116
Adenocaulon adhaerescens,9
Adenocaulon himalaicum,1386
Adenostoma fasciculatum,4511
Adiantum cuneatum,32
Adiantum raddianum,2080
Aegagropila linnaei,935
Aegilops caudata ssp. cylindrica,2
Aegilops cylindrica,2845
Aegilops cylindrica ssp. pauciaristata,4
Aegilops cylindrica var. multiaristata,4
Aegilops cylindrica var. pauciaristata,4
Aegilops cylindrica var. rubiginosa,1
Aegilops tauschii,736
Aeschynomene emerus,1
Aeschynomene fluitans,89
Aeschynomene herbacea,1
Aeschynomene indica,4000
Aeschynomene oligantha,1
Aeschynomene viscidula,334
Aetheorhiza bulbosa,722
Ageratina adenophora,6731
Ageratina riparia,1734
Agropyron cristatum,3854
Agropyron repens,6985
Agropyron repens f. aristatum,21
Agropyron repens f. repens,134
