acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new
Ammophila arenaria,"Ammophila arenaria, Ammophila arundinaceae, Ammophila littoralis, Arundo arenaria, Arundo littoralis, Calamagrostis arenaria, Phalaris ammophila, Phalaris maritima, Psamma arenaria, Psamma littoralis",ITIS,1,0,0,0,1,1,48205,78558
Ampelodesmos pliniana,Ampelodesmos pliniana,CABI,0,0,0,0,0,0,0,5
Amphibromus neesii,"Amphibromus neesii, Helictotrichon neesii",ITIS,0,0,0,0,1,1,563,633
Amsonia hubrichtii,Amsonia hubrichtii,ITIS,1,0,0,0,0,0,22,70
Amsonia orientalis,Amsonia orientalis,TNRS,0,0,0,0,0,0,13,7
Anacyclus pyrethrum,"Anacyclus officinarum, Anacyclus pyrethrum",TNRS,1,0,0,0,1,0,48,20
Anaphalioides bellidioides,"Anaphalioides bellidioides, Helichrysum bellidioides",TNRS,0,0,0,0,1,1,3249,3233
Anchusa officinalis,"Anchusa officinalis, Anchusa procera",ITIS,0,0,0,0,1,1,26031,27404
Anchusa thessala,Anchusa thessala,TNRS,1,0,0,0,0,0,11,40
Anemone halleri,Anemone halleri,TNRS,1,0,0,0,1,0,1592,1905
Anemone pulsatilla,"Anemone pulsatilla, Pulsatilla vulgaris",ITIS,1,0,0,0,0,1,50762,30160
Annona cherimola,"Annona cheirimola, Annona cherimola",ITIS,1,0,0,0,1,1,945,880
Annona muricata,Annona muricata,ITIS,1,0,0,0,1,1,1201,1475
Anoda cristata,"Anoda acerifolia, Anoda arizonica var. digitata, Anoda brachyantha, Anoda cristata, Anoda cristata var. albiflora, Anoda cristata var. brachyantha, Anoda cristata var. digitata, Anoda dilleniana, Anoda hastata, Anoda lavaterioides, Anoda lavateroides, Anoda populifolia, Anoda triangularis, Anoda triangularis var. digitata, Anoda triloba, Sida centrota, Sida cristata, Sida deltoidea, Sida dilleniana, Sida mexicana, Sida quinqueangulata, Sida triangularis",Atlas,1,1,0,0,1,1,3425,3698
Anthemis austriaca var. triumfettii,"Anthemis austriaca var. triumfettii, Anthemis triumfettii",TNRS,1,0,0,0,0,1,362,1341
Anthemis tomentosa,Anthemis tomentosa,TNRS,1,0,0,0,0,1,200,214
Anthoxanthum nitens,"Anthoxanthum nitens, Avena odorata, Dimesia fragrans, Hierochloe borealis, Hierochloe fragrans, Hierochloe nashii, Hierochloe odorata, Hierochloe odorata f. eamesii, Hierochloe odorata ssp. dahurica, Hierochloe odorata var. fragrans, Holcus borealis, Holcus fragrans, Holcus odoratus, Poa nitens, Savastana nashii, Savastana odorata, Savastana odorata var. fragrans, Torresia nashii, Torresia odorata",ITIS,0,0,0,0,1,1,32576,13560
Anthoxanthum odoratum,"Anthoxanthum odoratum, Anthoxanthum odoratum var. altissimum, Anthoxanthum pilosum, Anthoxanthum villosum, Xanthonanthos odoratum",ITIS,1,0,0,0,1,1,547771,627994
Antidesma bunius,"Antidesma bunias, Antidesma bunius, Antidesma dallachyanum",ITIS,1,0,0,0,1,1,682,612
Anubias afzelii,Anubias afzelii,ITIS,1,0,0,0,0,0,28,21
Anubias coffeefolia,Anubias coffeefolia,CABI,0,0,0,0,0,0,0,35
Anubias gigantea,Anubias gigantea,TNRS,0,0,0,0,0,0,50,49
Anubias heterophylla,Anubias heterophylla,TNRS,0,0,0,0,0,0,55,55
Apera interrupta,"Agrestis interrupta, Agrostis anemagrostis ssp. interrupta, Agrostis interrupta, Agrostis spica-venti ssp. interrupta, Agrostis spica-venti var. interrupta, Anemagrostis interrupta, Apera interrupta, Apera spica-venti var. interrupta, Muhlenbergia interrupta",ITIS,1,0,0,0,1,1,3354,3158
Aphanes australis,"Aphanes australis, Aphanes inexspectata",Atlas,0,1,0,0,1,1,26630,26059
Apocynum venetum,"Apocynum venetum, Trachomitum venetum",TNRS,1,0,0,0,0,1,21,227
Apodanthera aspera,Apodanthera aspera,TNRS,1,0,0,0,0,1,70,40
Aponogeton capuronii,Aponogeton capuronii,TNRS,0,0,0,0,0,0,6,6
Aponogeton desertorum,Aponogeton desertorum,TNRS,1,0,0,0,0,1,79,74
Aponogeton elongatus,Aponogeton elongatus,TNRS,0,0,0,0,0,0,169,84
Aponogeton krauseanus,Aponogeton krauseanus,CABI,0,0,0,0,0,0,0,1
Aponogeton longiplumulosus,Aponogeton longiplumulosus,TNRS,0,0,0,0,0,0,8,7
Aponogeton madagascariensis,"Aponogeton fenestralis, Aponogeton madagascariensis",TNRS,0,0,0,0,1,0,67,62
Aponogeton madagascariensis var. henkelianus,"Aponogeton henkelianus, Aponogeton madagascariensis var. henkelianus",TNRS,0,0,0,0,0,0,0,0
Aponogeton rigidifolius,Aponogeton rigidifolius,TNRS,0,0,0,0,0,1,4,3
Aponogeton siamensis,Aponogeton siamensis,CABI,0,0,0,0,0,0,0,135
Aponogeton ulvaceus,Aponogeton ulvaceus,TNRS,0,0,0,0,0,0,33,32
Aptenia lancifolia,Aptenia lancifolia,TNRS,1,0,0,0,0,1,17,17
Arceuthobium abietinum f.sp. concoloris,Arceuthobium abietinum f.sp. concoloris,CABI,1,0,0,0,0,0,0,101
Arceuthobium americanum,Arceuthobium americanum,ITIS,1,0,0,0,0,1,19,29
Arceuthobium campylopodum,"Arceuthobium abietinum, Arceuthobium apachecum, Arceuthobium apachense, Arceuthobium californicum, Arceuthobium campylopodum, Arceuthobium cyanocarpum, Arceuthobium laricis, Arceuthobium littorum, Arceuthobium microcarpum, Arceuthobium monticola, Arceuthobium occidentale, Arceuthobium siskiyouense, Arceuthobium tsugense, Arceuthobium tsugense ssp. amabilae, Arceuthobium tsugense ssp. mertensianae, Arceuthobium tsugense ssp. tsugense",ITIS,1,0,0,0,0,1,660,1009
Arceuthobium douglasii,Arceuthobium douglasii,ITIS,1,0,0,0,0,1,96,155
Arceuthobium minutissimum,Arceuthobium minutissimum,TNRS,1,0,0,0,0,1,12,3
Arceuthobium oxycedri,Arceuthobium oxycedri,ITIS,1,0,0,0,0,1,1397,1280
Arceuthobium pini,Arceuthobium pini,TNRS,1,0,0,0,0,1,57,57
Arceuthobium pusillum,"Arceuthobium pusillum, Razoumofskya pusilla",ITIS,1,0,0,0,0,1,332,422
Arceuthobium vaginatum,Arceuthobium vaginatum,ITIS,1,0,0,0,0,1,436,289
