accepted_name,occurrences,weedy,top_30_common,priority,jk_notes
Lamium galeobdolon,210263,1,yes,high,"Accepted name by TPL, but with lowest level of confidence"
Lamium purpureum var. incisum,33837,1,yes,high,Species already present & widespread in FL. Will this infraspecies intergrade?
Lathyrus japonicus,11108,1,yes,high,
Lathyrus palustris,21199,1,yes,high,
Lepidium draba,31537,1,yes,high,
Lepidium graminifolium,7068,1,yes,high,
Lepidium heterophyllum,12034,1,yes,high,
Lepidium latifolium,10238,1,yes,high,
Leptospermum scoparium,14271,1,yes,high,
Ligusticum scoticum,8868,1,yes,high,
Ligustrum vulgare,277160,1,yes,high,
Limosella aquatica,15095,1,yes,high,
Linaria purpurea,6901,1,yes,high,
Linaria supina,11339,1,yes,high,
Logfia arvensis,20608,1,yes,high,
Logfia gallica,15844,1,yes,high,
Logfia minima,41936,1,yes,high,
Lolium rigidum,28232,1,yes,high,
Lupinus polyphyllus,111039,1,yes,high,
Luzula campestris,277845,1,yes,high,
Lycium ferocissimum,108908,1,yes,high,Federal Noxious Weed
Lythrum hyssopifolia,23980,1,yes,high,
Lythrum portula,41663,1,yes,high,
Macrochloa tenacissima,11389,1,yes,high,
Malva moschata,81528,1,yes,high,
Malva sylvestris,100727,1,yes,high,
Marrubium vulgare,39040,1,yes,high,
Matricaria chamomilla,203564,1,yes,high,
Matricaria discoidea,226544,1,yes,high,
Matteuccia struthiopteris,29764,1,yes,high,
Medicago monspeliaca,7242,1,yes,high,
Medicago rigidula,10498,1,yes,high,
Mentha aquatica,285990,1,yes,high,
Mentha pulegium,51563,1,yes,high,
Miconia calvescens,94563,1,yes,high,
Microthlaspi perfoliatum,46805,1,yes,high,
Montia fontana,45417,1,yes,high,
Myosotis arvensis,204864,1,yes,high,
Myosotis ramosissima,59385,1,yes,high,
Myosotis scorpioides,242634,1,yes,high,
Nassella neesiana,7101,1,yes,high,
Nasturtium microphyllum,26577,1,yes,high,
Neslia paniculata,14818,1,yes,high,
Ononis natrix,25100,1,yes,high,
Onopordum acaulon,45235,1,yes,high,
Opuntia,122040,1,yes,high,A genus only; numerous native Opuntia spp. In Florida
Ornithopus compressus,14237,1,yes,high,
Orobanche gracilis,15546,1,yes,high,Federal Noxious Weed
Oxalis pes-caprae,26756,1,yes,high,
Panicum dichotomiflorum,10807,1,yes,high,Native species; = Panicum dichotomiflorum var. dichotomiflorum https://florida.plantatlas.usf.edu/Plant.aspx?id=2123
Panicum paludosum,7309,1,yes,high,
Papaver dubium,84228,1,yes,high,
Papaver hybridum,8881,1,yes,high,
Parentucellia viscosa,10535,1,yes,high,
Paspalum scrobiculatum,6905,1,yes,high,Federal Noxious Weed
Pastinaca sativa,138193,1,yes,high,"Removal recommended, based on prior workup by JK. This species (cultivated parsnip) is a temperate-obligate biennial; widely cultivated and has demonstrated minimal capacity to escape cultivation in our climate (one record from LA & one from SC)"
Pentaglottis sempervirens,14779,1,yes,high,
Persicaria hydropiper,183232,1,yes,high,
Petrorhagia prolifera,37672,1,yes,high,
Phacelia tanacetifolia,12058,1,yes,high,
Phalaris arundinacea,391216,1,yes,high,
Pilosella officinarum,239747,1,yes,high,
Pimpinella saxifraga,231697,1,yes,high,
Pinus contorta,8876,1,yes,high,
Pinus halepensis,350629,1,yes,high,
Pinus pinaster,252320,1,yes,high,
Pinus radiata,28138,1,yes,high,
Pittosporum undulatum,21210,1,yes,high,
Plantago coronopus,92062,1,yes,high,
Poa compressa,74803,1,yes,high,
Poa nemoralis,245998,1,yes,high,
Poa supina,10448,1,yes,high,
Poa trivialis,532864,1,yes,high,
Potamogeton natans,107500,1,yes,high,
Potentilla intermedia,7992,1,yes,high,
Potentilla norvegica,27753,1,yes,high,
Potentilla supina,10712,1,yes,high,
Potentilla verna,215986,1,yes,high,
Primula elatior,118741,1,yes,high,
Prunella laciniata,19283,1,yes,high,
Pulicaria dysenterica,119647,1,yes,high,
Reseda luteola,51240,1,yes,high,
Rhamnus cathartica,97803,1,yes,high,
Rhamnus frangula,361840,1,yes,high,
Rhododendron ponticum,36369,1,yes,high,
Rhus typhina,15148,1,yes,high,
Rosa rubiginosa var. nemoralis,12459,1,yes,high,
Rosa rugosa,52025,1,yes,high,
Rosmarinus officinalis,336234,1,yes,high,
Rubus bifrons,23222,1,yes,high,
Rubus parviflorus,7268,1,yes,high,
Rubus plicatus,157899,1,yes,high,
Rubus vestitus,7254,1,yes,high,
Rumex acetosa,606224,1,yes,high,
Rumex brownii,18153,1,yes,high,
Rumex bucephalophorus,9760,1,yes,high,
Rumex conglomeratus,97352,1,yes,high,
Rumex thyrsiflorus,23356,1,yes,high,
Sagittaria sagittifolia,57441,1,yes,high,Federal Noxious Weed
Salicornia depressa,23765,1,yes,high,
Salix cinerea,260589,1,yes,high,
Salix fragilis,71717,1,yes,high,
Salvia verticillata,9106,1,yes,high,
Sambucus nigra,487287,1,yes,high,Similar problem to Calystegia sepium. S. nigra ssp. canadensis is native https://florida.plantatlas.usf.edu/Plant.aspx?id=2186
Sanguisorba officinalis,100458,1,yes,high,
Satureja montana,13080,1,yes,high,
Schedonorus pratensis,51241,1,yes,high,
Schismus barbatus,7961,1,yes,high,
Scorpiurus muricatus,8792,1,yes,high,
