acc_name,synonyms,acc_name_source,climate,Atlas,fl_nox,fed_nox,naturalized,weedy,occurrences,occurrences_new,words,jk_notes
Elymus repens,"Agropyron junceum var. repens, Agropyron repens, Agropyron repens f. aristatum, Agropyron repens f. geniculatum, Agropyron repens f. heberhachis, Agropyron repens f. pilosum, Agropyron repens f. repens, Agropyron repens f. setiferum, Agropyron repens f. stoloniferum, Agropyron repens f. trichorrhachis, Agropyron repens f. vaillantianum, Agropyron repens subvar. pubescens, Agropyron repens var. aristatum, Agropyron repens var. nemorale, Agropyron repens var. pilosum, Agropyron repens var. pubescens, Agropyron repens var. repens, Agropyron repens var. subulatum, Agropyron repens var. vaillantianum, Agropyron repens var. vulgare, Agropyron sachalinense, Agropyron subulatum, Agropyron vaillantianum, Braconotia officinarum, Elymus hoffmannii, Elymus neogaeus, Elymus repens, Elymus repens var. aristatus, Elymus vaillantianus, Elytrigia repens, Elytrigia repens ssp. caesia, Elytrigia repens var. aristata, Elytrigia repens var. caesium, Elytrigia repens var. glauca, Elytrigia repens var. pubescens, Elytrigia repens var. repens, Elytrigia repens var. subulatum, Elytrigia repens var. vaillantiana, Elytrigia repens var. vaillantianum, Elytrigia vaillantiana, Elytrigia vaillantianum, Trisetum repens ssp. magellanicum, Triticum infestum, Triticum repens, Triticum repens f. pubescens, Triticum repens var. aristatum, Triticum repens var. caesium, Triticum repens var. subulatum, Triticum repens var. vulgare, Triticum subulatum, Triticum vaillantianum, Zeia repens",ITIS,1,0,0,0,1,1,381186,454913,2,
Calystegia sepium,,ITIS,1,0,0,0,1,1,376620,184116,2,"This cosmopolitan species has a native subspecies. https://florida.plantatlas.usf.edu/Plant.aspx?id=2195 The taxonomy is not resolved, and infraspecific compatability is unknown"
Vicia cracca,"Vicia cracca, Vicia cracca ssp. cracca, Vicia cracca ssp. grossheimii, Vicia cracca ssp. incana, Vicia cracca ssp. stenophylla, Vicia cracca ssp. tenuifolia, Vicia cracca var. tenuifolia, Vicia dalmatica, Vicia elegans, Vicia incana, Vicia semicincta, Vicia tenuifolia",ITIS,1,0,0,0,1,1,376405,451832,2,
Rhamnus frangula,"Frangula alnus, Rhamnus frangula, Rhamnus frangula var. angustifolia",ITIS,1,0,0,0,1,1,361840,229294,2,
Veronica chamaedrys,,ITIS,1,0,0,0,1,1,360373,442316,2,
Pinus halepensis,,ITIS,1,0,0,0,1,1,350629,56177,2,
Fragaria vesca,,ITIS,1,0,0,0,1,1,347344,389656,2,
Rosmarinus officinalis,"Rosmarinus officinalis, Rosmarinus officinalis var. prostratus",ITIS,1,0,0,0,1,1,336234,51301,2,
Jacobaea vulgaris,"Jacobaea vulgaris, Senecio jacobaea",ITIS,1,0,0,0,1,1,325716,297091,2,
Bromus hordeaceus,"Avena mollis, Bromus hordeaceus, Bromus hordeaceus f. leiostachys, Bromus hordeaceus f. leptostachys, Bromus hordeaceus ssp. mollis, Bromus hordeaceus var. leptostachys, Bromus hordeaceus var. mollis, Bromus leptostachys, Bromus leptostachys var. pubescens, Bromus megapotamicus, Bromus mollis, Bromus mollis f. nanus, Bromus mollis ssp. hordeaceus, Bromus mollis var. hordeaceus, Bromus mollis var. leiostachys, Bromus mollis var. leptostachys, Bromus mollis var. nanus, Bromus nanus, Bromus secalinus var. hordeaceus, Forasaccus mollis, Serrafalcus hordeaceus, Serrafalcus mollis",ITIS,1,0,0,0,1,1,304077,223273,2,
Mentha aquatica,"Mentha aquatica, Mentha citrata, Mentha piperita ssp. citrata, Mentha X piperi var. citrata, Mentha X piperita var. citrata",ITIS,1,0,0,0,1,1,285990,320488,2,
Alopecurus pratensis,"Alopecurus alpinus f. songaricus, Alopecurus alpinus var. songaricus, Alopecurus altissimus, Alopecurus aquaticus, Alopecurus brachyglossus, Alopecurus ciliatus, Alopecurus elongatus, Alopecurus laxiflorus, Alopecurus obscurus, Alopecurus pallidus, Alopecurus pratensis, Alopecurus pratensis f. breviaristatus, Alopecurus scaber, Alopecurus seravschanicus, Alopecurus sericeus, Alopecurus songaricus, Alopecurus trivialis, Phalaris aristata, Tozzettia pratensis",ITIS,1,0,0,0,1,1,281793,293579,2,
Brachypodium sylvaticum,"Agropyron sylvaticum, Brachypodium gracile f. pubescens, Brachypodium gracile var. pubescens, Brachypodium miserum, Brachypodium pubescens, Brachypodium sylvaticum, Brachypodium sylvaticum ssp. dumosum, Brachypodium sylvaticum ssp. pubescens, Brachypodium wattii, Brevipodium sylvaticum, Brevipodium sylvaticum var. dumosum, Bromus dumosus, Bromus sylvaticus, Festuca sylvatica, Triticum sylvaticum",ITIS,1,0,0,0,1,1,281279,288687,2,
Glyceria fluitans,"Devauxia fluitans, Festuca fluitans, Glyceria fluitans, Glyceria fluitans var. acutiflora, Hydrochloa fluitans, Melica fluitans, Panicularia brachyphylla, Panicularia fluitans, Poa fluitans",ITIS,1,0,0,0,1,1,279154,318884,2,
Luzula campestris,"Juncoides campestre, Luzula campestris, Luzula campestris var. campestris",ITIS,1,0,0,0,1,1,277845,302608,2,
Ligustrum vulgare,,ITIS,1,0,0,0,1,1,277160,297246,2,
Juncus articulatus,"Juncus articulatus, Juncus articulatus var. obtusatus",ITIS,1,0,0,0,1,1,269062,307772,2,
