acc_name,selected,synonyms,naturalized,weedy,fed_nox,fl_nox,occurrences,occurrences_new,Atlas,climate,acc_name_source
Deschampsia cespitosa,1,"Agrostis caespitosa, Aira alpicola, Aira ambigua, Aira aristulata, Aira caespitosa, Aira cespitosa, Avena caespitosa, Campella caespitosa, Deschampsia alpicola, Deschampsia ambigua, Deschampsia andina, Deschampsia biebersteiniana, Deschampsia caespitosa, Deschampsia caespitosa ssp. genuina, Deschampsia cespitosa, Deschampsia cespitosa ssp. genuina, Deschampsia cespitosa var. confinis, Deschampsia cespitosa var. strictior, Deschampsia confinis, Deschampsia pungens, Podionapus caespitosus",1,1,0,0,456524,507622,0,1,ITIS
Draba verna,1,"Draba praecox, Draba verna, Draba verna var. aestivalis, Draba verna var. boerhaavii, Draba verna var. major, Erophila spathulata, Erophila verna, Erophila verna ssp. praecox, Erophila verna ssp. spathulata",1,1,0,0,213809,125005,0,1,ITIS
Ehrharta stipoides,1,"Ehrharta stipoides, Microlaena stipoides",1,1,0,0,109710,17296,0,1,ITIS
Elodea nuttallii,1,"Anacharis nuttallii, Anacharis occidentalis, Elodea columbiana, Elodea minor, Elodea nuttalli, Elodea nuttallii, Elodea occidentalis, Philotria angustifolia, Philotria minor, Philotria nuttallii, Philotria occidentalis, Udora verticillata var. minor",1,1,0,0,70290,161250,0,1,ITIS
Elymus repens,1,"Agropyron junceum var. repens, Agropyron repens, Agropyron repens f. aristatum, Agropyron repens f. geniculatum, Agropyron repens f. heberhachis, Agropyron repens f. pilosum, Agropyron repens f. repens, Agropyron repens f. setiferum, Agropyron repens f. stoloniferum, Agropyron repens f. trichorrhachis, Agropyron repens f. vaillantianum, Agropyron repens subvar. pubescens, Agropyron repens var. aristatum, Agropyron repens var. nemorale, Agropyron repens var. pilosum, Agropyron repens var. pubescens, Agropyron repens var. repens, Agropyron repens var. subulatum, Agropyron repens var. vaillantianum, Agropyron repens var. vulgare, Agropyron sachalinense, Agropyron subulatum, Agropyron vaillantianum, Braconotia officinarum, Elymus hoffmannii, Elymus neogaeus, Elymus repens, Elymus repens var. aristatus, Elymus vaillantianus, Elytrigia repens, Elytrigia repens ssp. caesia, Elytrigia repens var. aristata, Elytrigia repens var. caesium, Elytrigia repens var. glauca, Elytrigia repens var. pubescens, Elytrigia repens var. repens, Elytrigia repens var. subulatum, Elytrigia repens var. vaillantiana, Elytrigia repens var. vaillantianum, Elytrigia vaillantiana, Elytrigia vaillantianum, Trisetum repens ssp. magellanicum, Triticum infestum, Triticum repens, Triticum repens f. pubescens, Triticum repens var. aristatum, Triticum repens var. caesium, Triticum repens var. subulatum, Triticum repens var. vulgare, Triticum subulatum, Triticum vaillantianum, Zeia repens",1,1,0,0,381186,454913,0,1,ITIS
Eucalyptus globulus,1,Eucalyptus globulus,1,1,0,0,131326,18122,0,1,ITIS
Filipendula ulmaria,1,"Filipendula denudata, Filipendula ulmaria, Filipendula ulmaria ssp. denudata, Filipendula ulmaria ssp. ulmaria, Filipendula ulmaria var. denudata, Spiraea denudata, Spiraea ulmaria, Thecanisia discolor, Thecanisia ulmaria",1,1,0,0,552321,653729,0,1,ITIS
Filipendula vulgaris,1,"Filipendula hexapetala, Filipendula vulgaris, Spiraea filipendula",1,1,0,0,67784,79877,0,1,ITIS
Fragaria vesca,1,Fragaria vesca,1,1,0,0,347344,389656,0,1,ITIS
Geranium robertianum,1,Geranium robertianum,1,1,0,0,434557,481510,0,1,ITIS
Geum urbanum,1,Geum urbanum,1,1,0,0,401243,460142,0,1,ITIS
