Preferred scientific name,International common name,Taxonomic group,ISC content,CPC content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Invasive Somewhere,Total number of presence records,Number of presence records in neighbouring countries/states,Number of presence records countries/states with matching climate,Total Hosts,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Portunus segnis,,Invertebrates,Full datasheet,,"invasiveSpecies,hostAnimal",Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Portunidae,invasive,25,0,12,0,,no data,,https://www.cabi.org/isc/datasheet/68649
Potato leafroll virus,,Viruses,,Full datasheet,"pest,naturalEnemy",Virus,,,,,Luteoviridae,,76,0,42,10,no data,,no data,https://www.cabi.org/cpc/datasheet/42783
Potato spindle tuber viroid,spindle tuber of potato,Viruses,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Virus,,,,,Pospiviroidae,invasive,110,0,31,18,no data,no data,no data,https://www.cabi.org/cpc/datasheet/43659; https://www.cabi.org/isc/datasheet/43659
Potato virus A,potato mild mosaic,Viruses,,Basic datasheet,pest,Virus,,,,,Potyviridae,,19,0,4,3,no data,no data,no data,https://www.cabi.org/cpc/datasheet/42524
Potato virus M,,Viruses,,Full datasheet,pest,Virus,,,,Tymovirales,Betaflexiviridae,,49,0,21,5,no data,,no data,https://www.cabi.org/cpc/datasheet/42829
Potato virus S,,Viruses,,Full datasheet,pest,Virus,,,,Tymovirales,Betaflexiviridae,,76,0,38,1,no data,,no data,https://www.cabi.org/cpc/datasheet/43662
Potato virus X,potato interveinal mosaic,Viruses,,Full datasheet,pest,Virus,,,,Tymovirales,Alphaflexiviridae,,29,0,17,12,no data,no data,no data,https://www.cabi.org/cpc/datasheet/43759
Potentilla supina,,Plants,Basic datasheet,Basic datasheet,"pest,invasiveSpecies",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Rosales,Rosaceae,invasive,38,0,14,0,no data,no data,no data,https://www.cabi.org/cpc/datasheet/116524; https://www.cabi.org/isc/datasheet/116524
Pratylenchus goodeyi,banana lesion nematode,Invertebrates,Full datasheet,Full datasheet,"pest,naturalEnemy,invasiveSpecies",Eukaryota,Metazoa,Nematoda,,,Pratylenchidae,invasive,20,0,15,10,no data,,,https://www.cabi.org/cpc/datasheet/43897; https://www.cabi.org/isc/datasheet/43897
Pratylenchus rwandae,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Pratylenchidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/94198679
Pratylenchus speijeri,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Pratylenchidae,,1,0,1,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/119481
Pratylenchus thornei,,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Nematoda,,,Pratylenchidae,,80,0,42,43,no data,,,https://www.cabi.org/cpc/datasheet/43903
Prays oleae,olive kernel borer,Invertebrates,,Full datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,,36,0,14,6,no data,,no data,https://www.cabi.org/cpc/datasheet/43913
Procontarinia matteiana,,Invertebrates,,Basic datasheet,pest,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Cecidomyiidae,,5,0,2,1,no data,no data,no data,https://www.cabi.org/cpc/datasheet/43967
Prosopis glandulosa,honey mesquite,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,40,0,23,1,,no data,,https://www.cabi.org/cpc/datasheet/44439; https://www.cabi.org/isc/datasheet/44439
Prosopis juliflora,mesquite,Plants,Full datasheet,Full datasheet,"invasiveSpecies,hostPlant",Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,135,0,102,1,,no data,,https://www.cabi.org/cpc/datasheet/43942; https://www.cabi.org/isc/datasheet/43942
Prosopis pallida,mesquite,Plants,Full datasheet,Full datasheet,invasiveSpecies,Eukaryota,Plantae,Spermatophyta,Dicotyledonae,Fabales,Fabaceae,invasive,34,0,25,1,,no data,,https://www.cabi.org/cpc/datasheet/44447; https://www.cabi.org/isc/datasheet/44447
